"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"10"	" 1204"	" 994"	"1768"	"1768"	"2872"	"3684"	"2838"	"  697"	"  384"	"  575"	" 1092"	" 664"	" 532"	" 232"	"  289"	" 1014"	" 752"	"  336"	" 378"	"  213"	" 1600"	"1434"	" 520"	"1112"	"1690"	"1916"	"1218"	"2478"	"3232"	"2003"	"2756"	"1597"	"1378"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"11"	"  570"	" 725"	"1147"	"1165"	"2825"	" 455"	"2947"	" 3539"	"  357"	"  183"	"  118"	" 337"	" 336"	" 430"	"  358"	" 1028"	" 463"	"  189"	" 116"	"  557"	" 1248"	" 936"	" 166"	"3063"	" 795"	" 663"	" 840"	"2720"	"3492"	"3043"	"2451"	"4334"	" 830"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"12"	" 1394"	" 458"	" 738"	" 646"	"3669"	" 612"	"2630"	" 2404"	"  247"	"  190"	"  225"	" 193"	" 110"	" 143"	"  232"	"  952"	"1148"	"   99"	" 152"	"  337"	" 1115"	" 728"	" 222"	"1550"	"1333"	"1094"	" 972"	"3471"	"6332"	"5687"	"2604"	"4938"	"1496"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"13"	" 1230"	"1392"	"1274"	"1249"	" 885"	" 442"	" 682"	"  450"	"  479"	"  527"	"  925"	" 605"	" 561"	" 744"	"  174"	" 2118"	"1118"	"  572"	" 366"	"  141"	"  930"	"1307"	" 315"	" 348"	"1203"	"1593"	"1326"	"1821"	"1416"	"1581"	"1759"	"1974"	"1563"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__RhizobialesOR;g__RhizobialesOR"
"14"	"  485"	" 789"	" 848"	" 707"	" 542"	" 368"	" 608"	"  960"	"  218"	"  171"	"  115"	" 732"	" 684"	" 205"	"  157"	"  334"	" 168"	"  286"	" 132"	"  153"	"  495"	" 306"	" 205"	" 778"	" 960"	" 706"	" 823"	" 748"	" 817"	" 718"	" 476"	" 679"	" 942"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"15"	"  538"	" 431"	" 341"	" 385"	" 716"	"  89"	" 457"	" 1117"	"  311"	"  303"	"  439"	" 495"	" 451"	" 525"	"  573"	" 1664"	"1230"	"  904"	" 201"	"   86"	"  892"	" 801"	" 279"	" 114"	" 329"	" 615"	" 584"	"1240"	" 952"	"1355"	" 836"	"1451"	" 602"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium"
"16"	"  665"	"  41"	"  47"	" 150"	"2486"	"3190"	"2980"	"  707"	"   49"	"    3"	"   32"	"  24"	"  13"	"7707"	"  446"	" 3195"	"5463"	"   34"	"   1"	"  200"	" 1735"	"2009"	"   3"	"1315"	"  74"	"  47"	" 159"	"3114"	"1480"	"1945"	"4515"	"3141"	" 116"	"k__Archaea;p__Crenarchaeota;c__Sd-NA;o__NRP-J;f__NRP-JOR;g__NRP-JOR"
"17"	"  509"	" 161"	" 127"	"  95"	"  47"	" 162"	"  56"	"   32"	"  391"	" 5854"	"  549"	"1373"	"1405"	" 134"	" 1591"	"  383"	" 274"	" 2181"	"7509"	"  437"	"  729"	"  92"	"8500"	"   5"	" 124"	" 435"	" 237"	" 700"	"  25"	" 251"	"  38"	"  43"	"4571"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina"
"18"	"  293"	"  31"	"  83"	" 140"	"   6"	"  43"	"  10"	"   37"	"10774"	" 3564"	" 3568"	"2770"	"2378"	"2982"	"  722"	"  479"	"  10"	"   80"	" 153"	"   38"	"   37"	"  19"	" 197"	"  30"	" 592"	"1017"	" 447"	"  84"	"  75"	"  28"	"  56"	" 123"	" 283"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter"
"19"	" 1504"	"1464"	"1653"	"2013"	" 336"	" 184"	" 314"	" 1047"	"  135"	"  109"	"  550"	" 956"	" 935"	"  72"	"  161"	"  103"	" 176"	"   78"	"  30"	"  112"	"  212"	"  67"	"  45"	" 507"	"3535"	"2129"	"2301"	" 384"	" 346"	" 239"	" 383"	" 308"	"1937"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"21"	" 2059"	"   3"	"   1"	"   1"	"   0"	"  84"	"   3"	"    0"	" 2151"	" 2528"	" 3902"	"3989"	"3229"	"3332"	"  208"	" 5891"	"   0"	"  566"	" 560"	"  586"	" 1761"	"2617"	" 712"	"2377"	"   0"	"  27"	"   9"	"   0"	"   0"	"   1"	"   3"	"   5"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__ThermoanaerobacteralesOR;g__ThermoanaerobacteralesOR"
"22"	"  112"	"  57"	" 124"	" 236"	"2009"	"1410"	"1405"	" 2023"	"  170"	"   58"	"   91"	"  33"	"  27"	"2935"	"  302"	"  995"	"3294"	"   63"	"  12"	"  552"	"  854"	"4112"	"  13"	"4195"	"  52"	"  69"	" 262"	"2354"	"2856"	"2160"	"4214"	"4144"	" 103"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA"
"24"	"   11"	"  20"	"  14"	"  20"	"  46"	"   6"	"  33"	"   27"	"    9"	"   11"	"   25"	"  28"	"  14"	"  18"	"    6"	"   72"	"  33"	"   20"	"  10"	"    4"	"   20"	"  38"	"   7"	"   2"	"  17"	"  20"	"  21"	"  77"	"  42"	"  80"	"  44"	"  52"	"  28"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodomicrobium"
"25"	"  119"	"  70"	" 115"	" 137"	"1795"	"4014"	"1763"	"  439"	"   44"	"   25"	"   36"	"  39"	"  31"	"1468"	"  191"	" 1270"	"3568"	"   45"	"   6"	"  737"	" 1850"	"2992"	"  14"	"3962"	"  77"	"  39"	" 288"	"2388"	"1867"	"1604"	"4235"	"3462"	" 115"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"26"	"    0"	"   0"	"   0"	"   0"	"   0"	"   5"	"   0"	"    0"	" 3486"	"  730"	"15822"	" 778"	" 403"	"  16"	"   99"	"    9"	"   7"	"    3"	" 639"	" 2015"	"   88"	"  11"	" 748"	"  18"	"   0"	"   0"	"   1"	"   0"	"   0"	"   6"	"   1"	"   1"	"   2"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis"
"28"	"  939"	" 299"	" 682"	" 280"	"2496"	" 297"	"2241"	"  667"	"   96"	"   26"	"   24"	"  35"	"  17"	"  77"	"  135"	"  391"	" 345"	"   22"	"   3"	"   96"	"  353"	" 950"	"   2"	" 668"	" 229"	" 380"	" 493"	"3556"	"4491"	"4942"	"4498"	"5434"	" 898"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"31"	"  251"	"  46"	" 134"	" 193"	"1175"	" 230"	" 547"	" 4074"	"  328"	"  109"	"  136"	"  59"	"  58"	"3281"	"  876"	" 4716"	" 926"	"   78"	"  35"	"  152"	" 4716"	"2897"	"  51"	" 702"	"  67"	"  50"	"  78"	" 444"	"1238"	" 624"	" 624"	"1864"	" 132"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"32"	"   28"	"2244"	"1180"	"2348"	" 745"	" 138"	" 315"	"  737"	"   67"	"    5"	"   37"	"  14"	"   9"	"   4"	"   36"	"   45"	"   3"	"    2"	"  17"	"    4"	"    8"	"   2"	"   9"	"   6"	" 552"	" 302"	" 248"	"  85"	" 188"	" 252"	"  68"	"  47"	" 373"	"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__SAGMA-XFA"
"33"	"  474"	" 215"	" 323"	" 382"	" 954"	"1982"	" 851"	"  371"	"   61"	"   24"	"   31"	"  71"	"  55"	" 519"	"  141"	" 1016"	"2253"	"   17"	"  17"	"  157"	"  358"	"3350"	"  11"	" 817"	" 653"	" 279"	" 400"	"1765"	"1451"	"1708"	"2958"	"3943"	" 327"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"34"	"  131"	"  98"	" 136"	"  59"	"  26"	"  13"	"  10"	"   24"	"  325"	" 3074"	"  338"	" 526"	" 413"	"  53"	"  623"	"  340"	"  29"	"11725"	" 372"	"  154"	"  421"	"  60"	" 425"	"  15"	" 117"	" 393"	" 105"	" 196"	" 133"	"  24"	"  14"	"  10"	" 160"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus"
"35"	"    9"	"  18"	"  14"	"  18"	"   2"	"  12"	"   5"	"    5"	"   11"	"    5"	"    5"	"   7"	"   3"	"   0"	"    1"	"    5"	"   1"	"   10"	"   1"	"    1"	"    1"	"   0"	"   0"	"   0"	"  11"	"  21"	"  19"	"   7"	"   5"	"   3"	"   2"	"   4"	"  22"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes"
"36"	" 1384"	"1097"	"1364"	"1504"	" 371"	"1088"	" 594"	" 1096"	"  224"	"  139"	"  228"	" 369"	" 338"	"  96"	"  123"	"  174"	"  89"	"  111"	" 264"	"  139"	"  343"	" 400"	" 326"	" 133"	"2167"	"1791"	"2051"	" 541"	" 679"	" 376"	" 904"	" 527"	"1771"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"37"	"  833"	" 723"	" 892"	" 560"	" 316"	"  60"	" 456"	"  300"	"  172"	"  190"	"  643"	" 369"	" 377"	" 353"	"   48"	"  925"	" 433"	"  359"	" 257"	"  586"	"  372"	"1416"	" 405"	"1717"	"1578"	"1139"	" 722"	" 545"	" 388"	" 212"	" 106"	" 105"	" 660"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__AcidobacteriaceaeFA"
"38"	"  576"	" 348"	" 596"	" 433"	" 872"	" 509"	" 722"	"  800"	"  488"	"  350"	"  682"	" 578"	" 557"	" 714"	"  119"	"  568"	" 122"	"  119"	" 576"	"  610"	" 1308"	" 879"	" 564"	"3233"	" 286"	" 393"	" 354"	" 981"	"1193"	" 737"	"1296"	"1209"	" 349"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"40"	"  350"	" 170"	" 224"	" 459"	"1123"	" 169"	" 906"	" 1982"	"  257"	"  172"	"  204"	" 136"	" 117"	" 883"	"  200"	"  880"	"2820"	"   75"	"  62"	"  342"	" 1661"	"1553"	" 115"	"2064"	" 340"	" 215"	" 275"	"1919"	"1600"	"1781"	" 891"	"1600"	" 291"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"42"	"   40"	"  10"	"   0"	"   2"	"   0"	"   8"	"   0"	"    0"	"  118"	"   26"	"  195"	"  34"	"  31"	" 318"	"   80"	" 1726"	"   0"	" 2787"	"  42"	"  100"	" 2067"	" 302"	"  77"	" 343"	"  17"	"   1"	"   4"	"   0"	"   0"	"   1"	"   1"	"   0"	"   1"	"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium"
"43"	"  546"	" 207"	" 145"	" 411"	"1472"	"1864"	"1597"	"  827"	"   69"	"   23"	"   36"	"  50"	"  55"	" 257"	"   87"	"  320"	"2332"	"   43"	"   5"	"   79"	"  301"	" 373"	"   7"	" 551"	" 185"	" 294"	" 284"	"1709"	"1335"	"1548"	"2516"	"2977"	" 296"	"k__Archaea;p__Crenarchaeota;c__Sd-NA;o__NRP-J;f__NRP-JOR;g__NRP-JOR"
