"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"500"	"   88"	"  20"	"   4"	"   3"	"   0"	"   5"	"   0"	"    1"	"  230"	"   43"	"  221"	" 466"	" 433"	"  38"	"   20"	"   58"	"   0"	"  106"	"  51"	"    3"	"    5"	"  47"	"  54"	"  28"	"  14"	"  19"	"  44"	"   7"	"   0"	"   1"	"   3"	"   0"	"  43"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinobacteria (class)CL;f__Actinobacteria (class)CL;g__Actinobacteria (class)CL"
"501"	"    0"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    2"	"    1"	"    4"	"  42"	"  48"	"   0"	"    0"	"    1"	"   0"	"    3"	"   4"	"    1"	"    3"	"   0"	"   6"	"   1"	"   1"	"   0"	"   0"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Coriobacteriales;f__CoriobacterialesOR;g__CoriobacterialesOR"
"502"	"    0"	"  15"	"   4"	"   0"	"  19"	"   6"	"   3"	"    5"	"    0"	"    0"	"    0"	"  37"	"  44"	"   0"	"    0"	"    1"	"   0"	"   21"	"   0"	"    0"	"    1"	"   0"	"   0"	"   0"	"   0"	"   1"	"  45"	"  11"	"  10"	"   2"	"  11"	"   1"	"   0"	"k__Bacteria;p__Thermotogae;c__Thermotogae (class);o__Thermotogales;f__ThermotogalesOR;g__ThermotogalesOR"
"503"	"   35"	"  21"	" 168"	" 132"	"   4"	"   3"	"  14"	"    8"	"  457"	"   70"	"   38"	" 123"	"  96"	"   2"	"    0"	"    2"	"  20"	"   14"	"  10"	"    1"	"    4"	"   1"	"  10"	"   0"	"  32"	"  68"	" 102"	"   0"	"   0"	"   0"	"   1"	"   0"	"  22"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL"
"504"	"   48"	" 214"	"  99"	" 196"	"  18"	"   4"	"   5"	"   43"	"   10"	"   13"	"   14"	"  12"	"  15"	"   2"	"   11"	"    7"	"   2"	"    2"	"   2"	"    2"	"    3"	"   0"	"   1"	"   2"	" 214"	" 109"	" 162"	"  11"	"   5"	"   2"	"   1"	"   1"	" 175"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"505"	"  251"	"  12"	"  43"	"  59"	"  90"	" 232"	" 173"	"   24"	"    6"	"    4"	"   37"	"  15"	"   9"	"  58"	"    1"	"  256"	" 231"	"    5"	"   1"	"   18"	"   72"	" 236"	"   0"	" 121"	"  62"	"  30"	"  56"	" 178"	"  76"	" 198"	" 473"	" 108"	"  42"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"509"	"   19"	"   6"	"  12"	"   9"	" 104"	"  16"	"  45"	"  524"	"   45"	"   13"	"   24"	"  10"	"  12"	" 289"	"   63"	"  244"	"  20"	"   17"	"  33"	"  112"	"  173"	" 192"	"  32"	" 642"	"   7"	"   4"	"  11"	"  64"	" 236"	"  40"	"  87"	"  85"	"  12"	"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA"
"510"	"   75"	" 180"	" 112"	" 126"	" 102"	"   8"	"  92"	"  382"	"   53"	"   46"	"   14"	"  44"	"  37"	"   6"	"   29"	"    7"	"   4"	"   27"	"  14"	"   13"	"    7"	"  12"	"  19"	"   5"	"  32"	" 176"	"  61"	" 111"	" 127"	"  79"	"  91"	" 108"	" 124"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"511"	"   31"	"  52"	"  59"	"  81"	"   2"	"   4"	"   1"	"    7"	"   94"	"   65"	"  130"	" 143"	" 143"	"   1"	"    3"	"    8"	"   2"	"   32"	"  67"	"   34"	"    3"	"   1"	"  83"	"   0"	"  63"	"  49"	"  39"	"   0"	"   0"	"   0"	"   5"	"   0"	"  78"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"512"	"   82"	"  33"	"  23"	"  46"	"  98"	" 264"	"  76"	"   49"	"    7"	"   14"	"   51"	" 129"	" 133"	" 148"	"   17"	"   54"	" 373"	"   32"	"  19"	"   22"	"   38"	"  52"	"  22"	" 110"	"  48"	"  36"	" 133"	" 126"	"  76"	"  39"	"  95"	"  43"	"  59"	"k__Bacteria;p__GAL15;c__GAL15PH;o__GAL15PH;f__GAL15PH;g__GAL15PH"
"515"	"   30"	"  28"	"  34"	"  95"	" 265"	" 181"	" 217"	"  113"	"    6"	"    3"	"    2"	"   4"	"   5"	"  14"	"   21"	"   80"	"  18"	"    3"	"   4"	"   12"	"   42"	"  61"	"   4"	" 102"	"  41"	"  25"	"  66"	" 268"	" 204"	" 259"	" 311"	" 298"	"  66"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"516"	"    8"	"   4"	"   1"	"   0"	"   0"	"   4"	"   0"	"    0"	"  119"	"   71"	" 1182"	"  48"	"  26"	"   0"	"   17"	"    3"	"   0"	"  106"	"  21"	"  138"	"    5"	"   3"	"  11"	"   0"	"   4"	"   5"	"   2"	"   0"	"   0"	"   1"	"   0"	"   0"	"   6"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus"
"517"	"    3"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    1"	"  360"	"   77"	"  506"	" 442"	" 305"	"   1"	"   17"	"    1"	"   0"	"    0"	"   0"	"    0"	"    0"	"   1"	"   0"	"   2"	"   2"	"   0"	"   3"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR"
"520"	"    0"	"   0"	"   0"	"   1"	"   0"	"   0"	"   1"	"    0"	"    1"	"    1"	"   34"	"  17"	"   9"	"   1"	"    0"	"    0"	"   0"	"    3"	"   0"	"    0"	"    2"	"   0"	"   0"	"   2"	"   6"	"  17"	"  22"	"   7"	"   4"	"   3"	"   3"	"  11"	"  38"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile"
"521"	"   16"	"   2"	"   1"	"   4"	"   1"	"  71"	"   7"	"    4"	"    7"	"   43"	"    9"	"   3"	"   5"	" 178"	" 2320"	"   63"	"  14"	"  104"	"   2"	"   11"	"  222"	"  17"	"   1"	"  13"	"  27"	"  20"	"   3"	"  12"	"   4"	"  15"	"  17"	"  10"	"   5"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermacetogenium"
"523"	"   49"	"  69"	"  77"	"  76"	"   3"	"   5"	"   3"	"    1"	"   30"	"   25"	"  186"	" 160"	" 170"	"   4"	"    0"	"    2"	"   3"	"   51"	"  64"	"    3"	"   13"	"   0"	"  94"	"  17"	"  75"	"  55"	"  96"	"   0"	"   0"	"   0"	"   0"	"   1"	"  95"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"524"	"  139"	" 112"	" 265"	" 114"	"   9"	"  10"	"   4"	"   30"	"   38"	"   12"	"  176"	" 152"	" 180"	"  27"	"    4"	"   24"	"  17"	"   56"	" 109"	"   12"	"   17"	"  22"	" 125"	"  38"	" 140"	" 122"	" 122"	"  16"	"   7"	"   0"	"   0"	"   3"	" 117"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__AcidobacteriaceaeFA"
"526"	"  115"	"  54"	"  40"	"  53"	"  38"	"  45"	"  32"	"   32"	"   62"	"   33"	"   98"	" 128"	"  96"	" 363"	"   75"	"   58"	" 225"	"   49"	"  42"	"   50"	"   72"	"  55"	"  39"	" 240"	"  63"	"  59"	"  98"	"  78"	"  42"	"  67"	"  44"	"  63"	"  86"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__AcidimicrobialesOR;g__AcidimicrobialesOR"
"530"	"   27"	"  71"	"  51"	"  54"	"  35"	"   2"	"  23"	"    7"	"   26"	"   14"	"   27"	"  34"	"  35"	"   6"	"    3"	"   48"	"   8"	"   75"	"  10"	"    1"	"   20"	"   6"	"  22"	"   0"	"  49"	"  69"	"  48"	"  36"	"  58"	"  28"	"  29"	"  45"	"  65"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__Pirellulaceae;g__A17"
"535"	"   63"	" 223"	" 257"	" 251"	"  27"	"  16"	"  14"	"   42"	"   24"	"   13"	"   34"	"  72"	"  59"	"   3"	"    4"	"   11"	"  13"	"    7"	"   8"	"    7"	"   10"	"   0"	"   2"	"   1"	" 225"	" 200"	" 241"	"  25"	"  17"	"  28"	"  12"	"  17"	" 239"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"537"	"    1"	" 142"	"  37"	"  14"	"   7"	"  10"	"   2"	"   10"	"    2"	"    0"	"    1"	"   7"	"  12"	"   0"	"    2"	"    1"	"   0"	"    6"	"   2"	"    0"	"    0"	"   0"	"   3"	"   1"	" 100"	"  38"	"  19"	"   4"	"   4"	"   3"	"   6"	"   4"	"  24"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"538"	"    4"	"   7"	"   3"	"   1"	"   0"	"   1"	"   0"	"    3"	"   11"	"   40"	"   29"	"  12"	"   7"	"   9"	"   78"	"   11"	"   4"	"   44"	"  33"	"    4"	"   26"	"   8"	"  46"	"   0"	"   2"	"   8"	"   3"	"  37"	"   6"	"   0"	"   4"	"   5"	"  20"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Tepidibacter"
"543"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"  134"	"   19"	" 1454"	"  14"	"   2"	"   1"	"   33"	"    1"	"   0"	"    0"	"   0"	"    0"	"    0"	"   0"	"   0"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Azospirillum"
"546"	"  126"	"  53"	"  95"	"  32"	"  39"	"   3"	"   3"	"    7"	"    5"	"    4"	"    6"	"   0"	"   0"	"   2"	"    0"	"    1"	"   9"	"    1"	"   8"	"   15"	"    5"	"   0"	"   3"	"   5"	"   8"	" 176"	"  62"	"   1"	"   1"	"   0"	"  25"	"   1"	"  14"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Frateuria"
"547"	"   23"	"  48"	"  33"	"  18"	"   8"	"   9"	"   1"	"    3"	"    2"	"    0"	"    0"	"   0"	"   0"	"   1"	"    2"	"    1"	"   0"	"    0"	"   0"	"    0"	"    0"	"   2"	"   0"	"   0"	" 115"	"  18"	"  26"	"  53"	"  23"	"  22"	"   3"	"   1"	"  25"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR"
"550"	"   22"	"  19"	"  64"	"  36"	" 108"	"  27"	" 196"	"    5"	"    2"	"    1"	"    7"	"   3"	"   2"	"   4"	"    8"	"   29"	" 316"	"    0"	"   1"	"    2"	"    3"	"   7"	"   0"	"  10"	"  12"	"  11"	"  38"	" 381"	"   9"	" 255"	" 423"	" 384"	"  34"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"551"	"   83"	"   1"	"   0"	"   0"	"   0"	"   5"	"   0"	"    0"	"   22"	"   95"	"   74"	" 244"	" 186"	" 625"	"  120"	"   32"	"   0"	"    2"	"   0"	"    1"	"    5"	"   0"	"   4"	"   0"	"  68"	" 444"	" 227"	"   2"	"   1"	"   1"	"   2"	"  15"	" 349"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales;f__YAB3B13;g__YAB3B13FA"
"553"	"   16"	"  11"	"   1"	"   2"	"   0"	"   4"	"   0"	"    0"	"    1"	"    1"	"    2"	" 585"	" 379"	"   0"	"    0"	"    5"	"   0"	"    2"	" 409"	"    0"	"    0"	"   0"	" 343"	"   0"	"   2"	"  23"	"   1"	"   0"	"   1"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__OxalobacteraceaeFA"
"554"	"   12"	"  84"	" 120"	" 132"	"  12"	"   4"	"  20"	"   65"	"   23"	"   17"	"   12"	"  34"	"  26"	"   1"	"    6"	"    3"	"   3"	"   11"	"   4"	"    4"	"    3"	"   2"	"   7"	"   7"	"  87"	"  31"	"  27"	"   7"	"  11"	"  23"	"   5"	"   5"	"  31"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"555"	"   15"	"   2"	"   1"	"   8"	"   0"	"   3"	"   0"	"    0"	"   70"	"   36"	"  121"	" 112"	"  87"	"   1"	"    8"	"    0"	"   1"	"    9"	" 848"	"  403"	"    4"	"   0"	"1035"	"   0"	"   6"	"   7"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   4"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__ActinomycetalesOR;g__ActinomycetalesOR"
"556"	"   10"	"  21"	"  15"	"  36"	"   0"	"   0"	"   4"	"    2"	"    1"	"    1"	"    1"	"   5"	"  13"	"   0"	"    0"	"    0"	"   0"	"    2"	"   0"	"    0"	"    0"	"   0"	"   1"	"   0"	"   4"	"   2"	"   3"	"   0"	"   0"	"   0"	"   0"	"   0"	"   9"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter"
"559"	"   23"	"   1"	"   0"	"   0"	"   2"	"  10"	"   7"	"    0"	" 1293"	"  253"	"  127"	"  67"	"  51"	" 122"	"    4"	"   38"	"   0"	"    0"	"  27"	"  171"	"    2"	"  22"	"  27"	" 457"	"   0"	"   0"	"   5"	"   6"	"   5"	"   4"	"  45"	"   0"	"   2"	"k__Bacteria"
"560"	"  112"	"  86"	"  41"	"  53"	"  37"	"  28"	"  16"	"   46"	"   87"	"   36"	"   52"	" 100"	"  75"	"  61"	"   28"	"   33"	" 109"	"   32"	"  31"	"   13"	"   45"	"  20"	"  28"	"  31"	"  37"	" 212"	"  94"	"  56"	"  25"	"  18"	"  51"	"  49"	" 132"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__BeijerinckiaceaeFA"
"562"	"    0"	"   0"	"   0"	"   0"	"   0"	"   7"	"   0"	"    0"	"    1"	"  498"	"    0"	"   2"	"   2"	"   2"	"    4"	"    2"	"   0"	"    7"	"1270"	"    2"	"    0"	"   0"	"1231"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"   0"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__ClostridiaceaeFA"
"563"	"    1"	"  12"	"   3"	"   2"	"   5"	"   9"	"   7"	"    0"	"    2"	"    0"	"    2"	"   0"	"   5"	"   0"	"    1"	"    0"	"   0"	"    6"	"   2"	"    1"	"    1"	"   0"	"   2"	"   3"	"  37"	"   8"	"  15"	"  11"	"   7"	"   6"	"  19"	"   4"	"  14"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA"
"567"	"   17"	"   6"	"  12"	"   6"	"   9"	"  28"	"   3"	"    5"	"   19"	"  181"	"   24"	"  16"	"  10"	" 183"	" 1212"	"   92"	"  64"	"  239"	"  23"	"   42"	"  373"	"  64"	"  21"	"  17"	"  33"	"  24"	"  15"	"  22"	"  21"	"   6"	"  23"	"  41"	"   9"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Thermosinus"
"571"	"    2"	"  50"	"  47"	"  28"	"   1"	"   0"	"   0"	"    2"	"    0"	"    0"	"    0"	"  12"	"  20"	"   0"	"    0"	"    0"	"   2"	"    9"	"   0"	"    0"	"    5"	"   0"	"   0"	"   0"	"  26"	"  38"	"  21"	"   0"	"   3"	"   0"	"   1"	"   0"	"  26"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA"
"572"	"   89"	"  73"	"  84"	"  99"	"   2"	"   6"	"   0"	"    5"	"   65"	"   12"	"   99"	" 187"	" 166"	"   0"	"    1"	"    3"	"   2"	"   41"	" 164"	"   11"	"    3"	"   0"	" 145"	"   0"	"  62"	"  74"	"  93"	"   0"	"   0"	"   0"	"   2"	"   0"	" 126"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__MC47;f__MC47OR;g__MC47OR"
"573"	"  390"	"  44"	" 209"	"  95"	"  49"	"  29"	" 102"	"   45"	"   10"	"    4"	"    9"	"   7"	"   6"	"  11"	"    6"	"    5"	" 741"	"   12"	"   2"	"    1"	"    8"	"   2"	"   6"	"   1"	"  15"	"  83"	"  35"	"   7"	"  14"	"   7"	"  14"	"   7"	"  38"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia"
"574"	"    7"	"   0"	"   0"	"   3"	"   1"	"   4"	"   0"	"    0"	"    0"	"    0"	"    0"	"   7"	"   9"	"   5"	"  628"	"   10"	"   3"	"  674"	"   0"	"    0"	"   93"	"   3"	"   0"	"   0"	"   0"	"   0"	"   2"	"   6"	"   0"	"   7"	"   1"	"   4"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__RuminococcaceaeFA"
"575"	"    0"	"   5"	"   1"	"   5"	"   0"	"   3"	"   0"	"    0"	"   12"	"    0"	"    0"	"   3"	"   3"	"   0"	"    0"	"    0"	"  15"	"    0"	"1444"	"    0"	"    3"	"   0"	"1310"	"   2"	"   6"	"   2"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL"
"579"	"   13"	"   1"	"   2"	"   0"	"   0"	"   0"	"   0"	"    0"	"  194"	"   40"	"  428"	"  23"	"   1"	"   1"	"    7"	"    0"	"  68"	"    0"	"  12"	"   99"	"    4"	"   1"	"   8"	"   0"	"   0"	"   0"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes"
"584"	"   95"	"  99"	"  58"	"  99"	"  33"	"  15"	"  19"	"   71"	"   34"	"   27"	"   22"	"  43"	"  20"	"   7"	"    7"	"   20"	"  50"	"   25"	"  10"	"    0"	"   23"	"  29"	"  13"	"  32"	" 122"	" 157"	" 137"	"  48"	"  62"	"  52"	"  29"	"  45"	" 149"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA"
"590"	"    0"	"   0"	"   1"	"   2"	"   0"	"   0"	"   0"	"    0"	"  508"	"   76"	"  236"	" 191"	" 161"	"  23"	"    8"	"  126"	"   0"	"   37"	"   2"	"   70"	"    2"	"  15"	"   6"	" 497"	"   0"	"   3"	"  34"	"   0"	"   0"	"   0"	"   0"	"   0"	"  13"	"k__Bacteria"
"591"	"   48"	"  67"	" 256"	"  93"	"  23"	"  10"	"   6"	"   21"	"    7"	"    1"	"    2"	"   5"	"   8"	"   0"	"    0"	"    7"	"   0"	"    0"	"   0"	"    0"	"    4"	"   1"	"   0"	"   0"	"  55"	" 159"	" 131"	"   5"	"  39"	"   5"	"   7"	"   2"	" 166"	"k__Bacteria;p__Chlorobi;c__BSV19;o__BSV19CL;f__BSV19CL;g__BSV19CL"
"592"	"    0"	"   2"	"   1"	"   2"	"   0"	"   0"	"   0"	"    2"	"    1"	"    2"	"   10"	"   3"	"   8"	"   1"	"    0"	"    0"	"   0"	"    4"	" 203"	"    2"	"    2"	"   1"	" 111"	"   0"	"   0"	"   4"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__StreptophytaOR;g__StreptophytaOR"
"595"	"   24"	"  53"	"  44"	"  61"	"  20"	"   7"	"  28"	"   26"	"   18"	"    4"	"   12"	"  22"	"  14"	"   4"	"    2"	"    2"	"   8"	"   18"	"   8"	"    4"	"    9"	"   3"	"  17"	"   1"	"  66"	"  48"	"  39"	"   8"	"  19"	"  14"	"   8"	"  21"	"  32"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__Acidobacteria-5CL;f__Acidobacteria-5CL;g__Acidobacteria-5CL"
"596"	"   22"	"  60"	"  43"	"  69"	"  37"	"  11"	"  43"	"   25"	"   26"	"    7"	"   20"	"  48"	"  52"	"   1"	"   12"	"    3"	"   6"	"   26"	"   6"	"    1"	"    6"	"   1"	"  19"	"   0"	"  69"	"  28"	"  37"	"  12"	"  15"	"   8"	"  11"	"  16"	"  52"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__Acidobacteria-5CL;f__Acidobacteria-5CL;g__Acidobacteria-5CL"
"597"	"   31"	"  45"	"  38"	"  43"	"  97"	"  17"	"  77"	"   83"	"   44"	"   23"	"   53"	"  31"	"  22"	"  19"	"   44"	"   95"	" 116"	"   25"	"  99"	"   24"	"   65"	"  94"	" 250"	"  19"	"  53"	"  35"	"  30"	" 139"	" 152"	" 141"	"  57"	" 207"	"  42"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Isosphaeraceae;g__IsosphaeraceaeFA"
"598"	"   62"	"  59"	"  22"	"  18"	"  29"	" 215"	"  35"	"   36"	"    5"	"   15"	"   21"	"  83"	"  86"	"   5"	"    8"	"   20"	"   0"	"    0"	"   1"	"    0"	"    0"	"   7"	"   1"	"   2"	"  36"	"  65"	"  46"	"  68"	"  30"	"  46"	"  49"	"  14"	" 109"	"k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__TM3"
"601"	"  107"	"  66"	" 112"	" 117"	"   1"	"   5"	"   2"	"   10"	"   59"	"   33"	"   91"	"  98"	"  76"	"   5"	"    4"	"    4"	" 451"	"   79"	"  71"	"   11"	"    9"	"   0"	"  76"	"   1"	" 111"	" 120"	"  64"	"   0"	"   5"	"   2"	"   2"	"   1"	" 127"	"k__Bacteria;p__WPS-2;c__WPS-2PH;o__WPS-2PH;f__WPS-2PH;g__WPS-2PH"
"602"	"    5"	"  12"	"  28"	"  46"	"   1"	"   0"	"   0"	"    1"	"   17"	"    4"	"   20"	"  67"	"  60"	"   1"	"    0"	"    3"	"   0"	"   19"	"  35"	"    2"	"    0"	"   0"	"  47"	"   0"	"   3"	"   7"	"   6"	"   0"	"   0"	"   0"	"   1"	"   0"	"   6"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter"
"603"	"  102"	"  79"	"  53"	"  96"	"  23"	"   6"	"  15"	"   66"	"   45"	"   24"	"   20"	" 208"	" 218"	"   8"	"   19"	"   30"	"   0"	"   47"	"   5"	"    4"	"   11"	"  34"	"   8"	"   7"	"  79"	"  38"	"  57"	"  18"	"  33"	"  22"	"  17"	"  24"	"  77"	"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA"
"604"	"    3"	"   9"	"   2"	"  12"	"   0"	"   1"	"   0"	"    0"	"   98"	"   35"	"   47"	" 383"	" 341"	"   0"	"    2"	"    7"	"   0"	"  103"	"  10"	"    2"	"    3"	"   0"	"  26"	"   0"	"   6"	"   2"	"  13"	"   0"	"   0"	"   0"	"   0"	"   2"	"  12"	"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA"
"605"	"    8"	"   6"	"   7"	"   9"	"  33"	"1946"	"  19"	"    7"	"    2"	"    0"	"    2"	"   4"	"   3"	"  50"	"   13"	"  114"	"  43"	"    2"	"   0"	"    5"	"  126"	" 102"	"   4"	"   9"	"   2"	"   3"	"   2"	"  27"	"  14"	"  69"	"  24"	"  34"	"   8"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"606"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    3"	"    0"	" 1378"	"  23"	"   1"	"   0"	"   13"	"    0"	"   0"	"    0"	"   0"	"    0"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter"
"607"	"    1"	"  79"	"  31"	"  13"	"   1"	"   0"	"   1"	"    0"	"    1"	"    9"	"    8"	"  17"	"  14"	"   0"	"    0"	"    3"	"   0"	"   11"	"   0"	"    0"	"    4"	"   0"	"   0"	"   0"	"  14"	"   7"	"  43"	"   0"	"   0"	"   0"	"   0"	"   0"	"  20"	"k__Bacteria;p__WS3;c__PRR-12;o__Sediment-1;f__PRR-10;g__PRR-10FA"
