KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K03351	3.4744	4.3512	4.088	4.4686	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	6.4711	3.7068	3.5505	3.2501	3.5696	3.631
K03352	3.4744	4.3512	3.5612	3.5696	3.567	4.6865	3.5807	4.0222	4.099	4.0971	4.7288	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	4.2529	6.5973	3.7068	3.5505	3.6643	4.099	4.1794
K03353	4.3281	3.9928	5.1246	4.099	4.4648	4.9027	4.7613	4.658	4.7449	4.9591	4.4529	4.4686	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	6.5364	4.9383	4.4409	5.2697	4.4686	4.1794
K03354	5.3785	5.7376	5.9644	5.6138	5.2796	4.4116	4.4846	5.3245	5.2834	5.1347	5.2677	5.7779	4.9891	3.5887	4.7449	5.1644	4.9891	3.688	4.112	4.6596	4.7165	4.602	4.099	4.5558
K03355	5.2678	4.624	5.2713	4.099	4.741	4.4116	5.2993	4.0222	4.7449	4.0971	4.9452	4.7449	3.5887	4.1241	4.4686	3.5887	4.7729	3.688	6.5364	3.7068	4.0737	4.602	4.9612	4.1794
K03357	4.6001	3.9928	4.088	4.4686	4.4648	3.5305	4.4846	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	4.099	3.5887	3.5887	4.2529	4.7594	3.7068	3.5505	4.602	3.5696	4.1794
K03358	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	5.1511	4.2767	3.5505	3.2501	3.5696	3.631
K03360	3.4744	3.9928	4.4565	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	4.099	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K03361	3.9721	5.5866	4.7325	4.7449	4.741	4.9027	4.4846	4.384	4.4686	3.5682	4.4529	4.4686	3.5887	3.5887	4.4686	3.5887	4.1241	3.688	4.7594	4.2767	3.5505	3.6643	4.099	4.1794
K03362	3.9721	4.624	5.2713	4.7449	4.741	4.6865	4.4846	4.384	4.4686	4.0971	4.7288	4.099	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	4.2767	3.5505	3.2501	3.5696	3.631
K03363	5.5639	6.8133	5.2713	6.4911	5.4048	4.9027	4.9775	4.0222	4.099	4.4666	4.7288	4.7449	3.5887	3.5887	3.5696	3.5887	4.496	3.688	6.5364	5.3261	5.2557	5.2697	5.1368	4.5558
K03364	4.6001	3.9928	4.7325	3.5696	4.741	4.0472	3.5807	4.0222	3.5696	4.4666	4.7288	4.099	3.5887	4.1241	3.5696	3.5887	4.7729	3.688	6.4007	5.3261	4.7165	4.9944	3.5696	5.2241
K03366	9.4375	9.0861	9.0825	8.655	8.9858	8.6573	8.7498	8.8392	8.8801	8.7934	8.695	8.6142	9.6375	9.7606	10.481	10.394	9.7574	9.8675	6.241	9.038	9.631	10.13	9.8554	9.4692
K03367	6.7281	6.7718	6.6836	6.3503	6.2671	6.5008	6.6562	6.9229	6.695	6.5522	6.4765	6.5231	5.544	4.7729	5.4086	6.0011	4.1241	4.2529	4.112	5.6989	6.2857	5.938	5.5175	5.9302
K03368	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	4.7449	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	5.6274	4.2767	3.5505	3.2501	3.5696	3.631
K03372	4.8158	3.4898	4.9488	4.7449	3.567	4.0472	4.4846	3.5117	4.4686	4.0971	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	4.2529	7.0899	3.7068	4.4409	5.0959	4.099	3.631
K03379	10.36	10.696	10.624	9.8075	10.711	9.768	9.2342	9.5403	9.2063	8.8839	9.3065	8.572	9.3978	9.3203	9.3506	9.7063	9.6375	9.1306	7.0899	8.2997	9.3508	9.3276	9.4733	8.813
K03380	8.4039	8.4086	8.4003	7.6744	8.1224	7.7398	6.6835	7.2903	7.0408	6.8154	7.4422	7.6172	6.7716	6.5796	6.7459	6.6386	6.5796	4.2529	4.7594	5.6989	5.9498	6.6623	6.3113	6.8276
K03381	7.9607	8.5186	8.2818	7.8121	7.9075	7.7234	6.8325	7.2515	6.5841	6.8602	6.8025	7.9113	7.3466	6.7465	7.0408	7.1533	6.4833	7.0612	5.4225	6.4027	6.669	7.3852	6.4234	6.9222
K03382	4.8158	4.624	4.7325	4.4686	3.567	3.5305	6.1504	6.444	6.4579	6.3094	5.9002	5.1368	6.6386	6.4129	5.9756	6.5796	6.3756	6.0022	5.6274	5.7933	6.9586	6.581	6.4579	6.6651
K03383	7.3085	7.0462	7.2096	7.0408	7.2613	7.0887	5.533	6.1492	5.9756	6.226	6.0178	5.9756	6.0011	6.0577	7.0408	6.5796	6.5165	5.1282	5.6274	7.2748	7.0323	6.9193	6.8173	7.0482
K03385	8.6581	8.2223	8.2868	7.6557	7.1872	6.7402	9.0809	8.9641	9.1682	9.0446	9.0553	8.3901	9.567	9.7493	9.8524	9.908	9.195	9.1187	7.0544	8.4634	9.6006	9.2927	9.7999	9.3773
K03386	10.223	9.691	9.783	10.316	10.143	10.983	10.464	10.836	10.975	10.877	10.721	10.88	11.862	11.909	11.688	11.674	11.045	10.981	7.6696	9.9523	11.096	11.113	11.301	10.915
K03387	8.3722	8.1231	8.1822	8.2533	7.698	8.2158	8.2216	8.3471	8.2891	8.3601	8.4011	8.2162	9.8439	9.8605	9.3165	9.4572	8.9255	8.7068	6.8075	8.7501	9.1927	8.9164	9.3859	9.1049
K03388	10.765	8.9823	10.129	11.982	10.216	11.587	13.206	13.464	13.696	13.581	13.663	13.299	10.866	10.083	10.469	10.372	10.241	9.2108	9.2937	10.938	11.307	10.56	11.205	10.731
K03389	9.3149	8.5785	9.0011	9.8465	9.0479	9.7171	10.973	11.129	11.229	11.117	11.182	10.696	9.1704	8.3568	8.5282	8.6471	8.3713	7.9661	6.7592	8.8218	8.9781	8.7071	8.8892	8.494
K03390	8.7599	8.1179	8.5316	9.6194	8.742	9.4007	10.195	10.544	10.476	10.402	10.42	9.9955	8.6396	8.0484	7.9677	8.2707	7.9528	7.9158	8.3236	8.3589	8.3931	8.1503	8.4351	8.0609
