KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K00001	11.447	11.341	11.503	11.003	11.385	11.257	11.012	11.294	11.317	11.385	11.167	11.719	11.626	11.641	11.789	11.617	11.555	11.28	7.2786	13.337	11.487	11.409	11.535	10.992
K00002	8.5188	7.9036	7.8623	7.6367	7.6037	7.6369	8.4339	8.2703	8.8862	8.9048	8.3223	8.3992	10.489	10.492	10.184	10.088	9.9498	9.7632	6.8972	11.929	9.7949	9.2173	9.959	9.0336
K00003	10.851	10.812	10.812	10.772	10.982	10.933	10.677	10.889	11.04	11.182	10.92	10.987	11.401	11.271	11.418	11.232	10.62	10.699	7.2786	12.096	10.94	11.075	10.979	10.585
K00004	8.5906	8.4323	8.5154	8.7359	8.669	8.7961	8.9039	9.1242	9.3421	9.4179	9.091	9.3961	8.7024	8.4811	9.1165	8.5364	8.6843	8.552	6.1488	10.045	8.5427	8.5981	8.0146	8.2657
K00005	7.4291	7.0139	7.502	8.0146	8.0494	8.2988	8.3255	8.6275	8.5562	8.6491	8.7257	8.4783	8.7993	8.5851	8.8801	8.864	8.2331	8.2118	6.241	8.7501	8.1988	8.5255	8.4698	8.2018
K00006	5.5639	3.9928	5.6021	5.2834	4.741	4.4116	5.7151	4.384	3.5696	5.6118	5.7631	5.7779	3.5887	4.1241	4.7449	4.1241	4.496	3.688	7.0899	5.8779	5.8232	6.2079	5.6999	5.4934
K00007	4.9924	6.0734	5.5057	5.2834	6.6649	5.4618	5.9905	5.6973	5.5175	4.9591	5.5987	4.7449	3.5887	3.5887	4.4686	3.5887	4.1241	3.688	4.7594	3.7068	3.5505	3.9738	3.5696	3.631
K00008	10.577	10.63	10.527	11.017	10.684	10.954	11.149	11.458	11.459	11.485	11.475	11.439	10.212	10.134	10.327	10.279	10.011	9.6098	7.6696	10.184	10.252	10.387	10.195	10.447
K00009	7.5721	7.0619	7.082	7.7711	6.962	8.1312	7.8358	8.0292	8.0719	8.1474	8.2477	8.1999	7.4722	7.5725	7.7196	7.386	7.1697	6.7671	6.5973	7.3251	7.8318	7.5067	8.0081	7.8134
K00010	9.9893	9.9848	10.031	9.6536	9.9499	9.8879	9.6164	9.8761	9.8391	9.738	9.8132	9.6688	9.4552	9.3704	10.017	9.9611	9.3704	9.4494	8.0547	8.7785	9.3219	9.9523	9.64	9.6365
K00011	6.3593	6.3481	6.3001	6.6412	6.0289	5.7239	6.538	6.9415	6.4911	6.6111	6.6538	6.7459	6.0577	5.8748	6.3113	6.0011	5.64	4.9129	6.939	5.7933	5.9498	6.2579	6.7941	5.9302
K00012	11.701	11.647	11.651	11.545	11.644	11.727	11.561	11.618	11.8	11.88	11.643	11.671	12.391	12.353	12.344	12.399	11.906	11.525	9.0004	13.042	11.876	11.855	11.876	11.567
K00013	11.295	11.135	11.185	10.998	11.279	11.274	10.896	11.15	11.311	11.314	11.203	11.226	11.738	11.533	11.717	11.749	11.339	11.091	7.8098	12.701	11.361	11.224	11.513	11.019
K00014	11.166	10.999	10.983	10.731	11.115	11.13	10.751	11.015	11.114	11.143	10.842	11.002	11.65	11.64	11.593	11.585	11.074	11.041	8.6555	12.067	11.028	11.202	11.113	10.762
K00015	10.402	10.464	10.499	10.166	10.574	10.243	9.3759	9.7986	9.7342	9.7742	9.7876	9.941	10.615	10.381	10.731	10.787	10.077	10.231	7.6112	9.4414	10.186	10.631	10.2	10.116
K00016	8.9386	8.7174	8.9709	8.7222	8.9117	8.6366	8.6275	9.0173	8.8526	8.9224	8.7557	9.2815	9.7751	9.6286	9.8211	9.7751	9.4592	9.1097	6.8972	8.8637	9.6159	9.7633	9.7454	9.4436
K00018	9.7184	9.4436	9.451	9.4143	9.4376	9.7899	9.8017	10.061	9.9603	9.9821	9.7351	10.084	10.079	9.9667	9.783	9.8469	9.5744	9.0855	6.4711	8.5829	9.6142	9.1544	9.8859	9.2617
K00019	10.048	9.755	9.997	9.5336	10.057	9.6706	9.6735	9.8575	10.032	9.9848	9.8057	9.7612	10.262	10.103	10.812	10.314	10.313	10.57	7.961	11.337	10.173	10.439	10.27	9.6421
K00020	11.704	11.795	11.767	11.314	11.752	11.549	10.738	11.108	11.038	10.956	10.878	10.949	11.688	11.523	12.124	12.072	11.379	11.657	7.7066	10.396	11.409	11.945	11.848	11.305
K00021	9.3055	9.2379	9.2957	8.6622	9.0532	8.3889	9.2389	9.313	9.4022	9.571	9.1356	9.2133	9.6	9.3978	10.014	9.6654	9.6463	9.8932	5.928	12.244	9.6176	9.4545	9.4183	8.9858
K00022	6.5621	6.928	6.7094	6.2279	6.6649	6.175	5.533	6.0066	5.5175	5.698	5.5987	4.9612	3.5887	3.5887	5.1368	4.496	4.7729	3.688	6.5364	4.6596	3.5505	5.1871	4.099	3.631
K00023	9.5964	9.5456	9.6267	9.1165	9.659	9.2913	9.0273	8.9821	9.1536	9.1634	8.823	8.7495	10.343	10.315	10.755	10.685	9.9807	10.269	6.4711	9.8711	9.8008	10.236	10.361	9.5809
K00024	11.158	11.133	11.075	11.008	11.227	11.263	10.817	11.014	11.099	11.143	10.934	10.998	11.182	11.121	11.417	11.345	11.037	10.914	6.1488	12.438	10.897	10.976	11.227	10.546
K00025	3.4744	5.0165	3.5612	4.099	5.133	4.4116	4.1137	4.0222	3.5696	4.0971	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.6596	4.9328	4.2224	4.4686	4.5558
K00026	4.6001	4.8399	4.088	4.4686	3.567	4.0472	4.1137	4.8741	4.7449	4.0971	4.9452	4.4686	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	6.241	4.2767	5.1087	5.3451	4.4686	5.2241
K00027	10.581	10.254	10.275	10.2	10.272	10.054	10.151	10.298	10.283	10.237	10.237	10.255	11.585	11.519	10.897	11.273	10.615	10.278	7.2198	9.9574	10.631	10.576	10.536	10.357
K00028	4.6001	4.3512	5.1246	4.4686	4.9573	4.0472	4.4846	5.3245	5.1368	4.9591	4.9452	4.4686	6.2959	3.5887	4.099	4.496	5.544	3.688	4.112	4.2767	4.7165	3.9738	3.5696	4.1794
K00029	11.708	11.669	11.839	11.551	11.875	11.739	11.258	11.411	11.592	11.618	11.33	11.314	11.656	11.417	12.259	12.036	11.558	11.841	7.7766	13.651	11.57	11.865	11.789	11.172
K00030	9.4358	9.7758	9.6318	9.6788	9.8432	9.6274	8.8196	9.1196	9.1389	9.2813	9.1307	9.5409	10.06	10.137	9.7198	9.9255	9.6774	9.5264	4.112	8.5734	9.3467	9.1473	9.4867	8.9888
K00031	12.017	11.786	11.828	11.604	11.685	11.841	11.812	11.854	11.959	11.914	11.829	11.594	12.354	12.348	12.395	12.429	11.984	12.023	8.1405	12.91	12.008	11.818	12.114	11.583
K00032	6.3912	6.6827	6.4122	6.4579	6.6095	6.5307	5.9297	6.1919	6.3503	5.6118	5.8345	5.8492	6.6386	5.4354	4.9612	5.4354	4.9891	4.9129	4.112	5.6989	5.2557	5.4782	5.5175	5.3694
K00033	11.128	10.774	10.893	11.129	11.241	11.546	10.733	11.088	10.98	11.173	10.928	11.239	11.218	11.268	11.318	11.236	10.852	10.593	7.7246	12.426	11.013	11.046	11.048	10.694
K00034	9.7501	9.5759	9.6487	9.7907	9.8825	10.042	9.1939	9.5619	9.31	9.5692	9.2564	9.883	9.3159	9.1605	9.7326	9.518	9.2357	9.3505	5.928	9.6917	9.436	9.6401	9.361	9.2242
K00035	8.1745	7.7726	8.0026	7.236	7.759	7.402	8.024	7.5246	8.3992	7.8872	7.6953	7.293	6.8659	6.7207	7.3467	7.2016	6.8199	7.2336	4.112	6.2072	6.9194	7.1208	6.7208	6.8761
K00036	11.368	11.104	11.133	11.481	11.474	11.946	10.873	11.157	11.008	11.062	11.025	11.174	11.156	11.173	11.264	11.21	10.761	10.472	7.8731	9.787	10.811	10.974	10.988	10.718
K00038	8.8723	9.161	9.2337	8.6909	9.2924	8.5977	8.5771	8.8278	8.5602	8.3834	8.6162	8.0903	8.0614	7.6439	8.0719	8.211	7.9088	7.1417	6.241	7.4181	7.9538	8.1437	8.2216	7.8564
K00039	7.4792	7.1927	7.2389	6.6131	6.9814	6.6921	6.7358	6.6659	6.5231	6.6931	6.8025	6.4911	7.2475	7.1533	7.737	7.614	7.3988	7.3642	6.241	6.5256	7.407	7.5067	7.7017	7.3903
K00040	8.8982	8.6834	8.7695	7.7794	8.453	8.2056	7.0378	7.6538	7.3596	7.5117	7.2916	7.7877	7.8309	7.8309	8.1944	8.0993	7.4603	7.268	6.7083	6.8188	7.6656	8.0996	7.8743	7.9676
K00041	8.5223	8.4967	8.3355	8.0146	8.2015	8.3082	7.3221	7.4528	7.3975	7.3955	7.4422	7.8966	7.2623	7.5725	7.8966	7.3466	6.888	5.5683	4.7594	6.2602	7.8693	7.0617	8.319	7.553
K00042	10.041	10.156	9.961	9.9369	10.213	10.319	9.6217	9.8893	9.9102	9.9767	9.7523	9.9562	9.3445	8.9955	9.4791	9.2707	9.153	8.9804	6.4711	9.2754	9.2902	9.2774	9.1609	8.813
K00043	8.1046	7.7274	7.8161	6.5541	7.9361	7.2099	6.9408	7.0938	6.7459	7.1085	6.8473	6.4579	8.0353	7.7011	8.2533	8.6806	7.9528	7.7677	4.7594	7.3086	7.5902	8.6391	8.0081	7.8647
K00044	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	3.2501	3.5696	3.631
K00045	9.1675	8.5472	8.6126	7.828	8.1627	7.7718	7.6029	7.7444	7.904	7.9994	7.836	7.5669	8.2812	8.468	9.0174	9.2661	8.0419	8.6074	6.8534	7.7086	8.2147	9.0868	8.6731	8.6321
K00046	10.726	10.763	10.791	10.446	10.763	10.634	10.261	10.526	10.474	10.486	10.419	10.578	9.8083	9.8605	10.262	10.074	9.7213	9.6807	7.8577	9.2086	10.11	10.215	10.067	9.9169
K00048	6.2919	6.2407	6.1718	6.7208	6.1321	6.5597	6.9201	6.9415	7.1909	7.3047	7.2209	7.293	6.9515	6.8659	6.3876	6.9309	6.4129	7.1979	5.6274	6.4864	6.3246	6.8195	5.6138	6.308
K00049	6.2189	6.4439	6.4467	6.0324	6.6376	6.2584	5.9905	5.4345	6.0324	5.9129	6.3357	5.9148	5.1644	4.1241	4.4686	5.7259	5.3106	5.8547	5.1511	4.2767	4.0737	5.7398	3.5696	4.1794
K00050	10.226	10.286	10.418	10.293	10.497	10.246	10.137	10.585	10.592	10.756	10.524	10.792	10.808	10.795	11.133	10.964	10.676	10.783	8.0288	12.626	10.659	10.968	10.642	10.266
K00051	5.4764	5.7376	5.6021	4.7449	5.9721	5.0788	4.1137	4.658	4.4686	4.7428	4.9452	4.4686	3.5887	3.5887	5.2834	5.3106	4.1241	3.688	4.112	3.7068	4.0737	3.9738	4.7449	5.4934
K00052	11.536	11.546	11.584	11.419	11.562	11.58	11.421	11.568	11.697	11.68	11.541	11.535	11.394	11.477	11.409	11.418	11.066	10.94	7.4594	12.434	11.209	11.222	11.367	10.863
K00053	11.175	11.082	11.043	10.947	11.117	11.215	10.966	11.183	11.258	11.306	11.206	11.178	11.376	11.302	11.541	11.447	11.05	11.052	6.8972	12.402	11.112	11.074	11.25	10.762
K00054	9.9471	9.992	9.9003	9.7358	9.6807	9.4083	9.855	9.8345	9.9861	10.028	9.9125	9.71	10.252	10.12	10.174	10.101	9.9427	9.6263	6.7083	9.038	9.8703	9.6253	10.025	9.5333
K00055	7.7495	7.996	7.824	8.0276	7.9432	8.063	7.4612	7.7522	7.7794	7.8798	7.9453	7.7457	7.4239	6.8199	6.9256	6.9916	7.4239	5.7699	4.112	7.3251	6.7912	6.8063	6.6412	5.9955
K00057	11.089	10.854	11.039	10.815	11.128	11.161	10.919	11.109	11.181	11.0	10.989	10.856	11.555	11.642	11.582	11.605	11.114	10.889	7.4826	9.7946	11.06	11.221	11.36	10.842
K00058	12.506	12.487	12.538	12.333	12.61	12.619	12.247	12.48	12.637	12.681	12.455	12.535	12.74	12.89	12.774	12.736	12.271	12.172	8.6103	14.232	12.407	12.408	12.428	12.114
K00059	13.586	13.686	13.668	13.443	13.846	13.625	13.285	13.492	13.504	13.499	13.342	13.432	13.431	13.323	13.54	13.459	13.082	12.844	9.8926	14.045	13.018	13.102	13.089	12.651
K00060	10.105	9.7894	9.9199	9.9369	9.9361	10.249	10.057	10.094	10.169	10.116	10.067	9.8715	10.645	10.878	10.555	10.654	10.066	9.9402	6.0455	9.0445	10.005	10.235	10.28	9.8211
K00061	4.8158	3.9928	4.4565	4.7449	3.567	3.5305	5.4243	5.1981	5.5175	3.5682	4.9452	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	4.7508	3.5696	3.631
K00062	4.6001	4.624	3.5612	4.4686	4.0955	3.5305	4.1137	4.0222	5.5175	4.7428	4.0847	4.7449	3.5887	3.5887	4.4686	4.1241	3.5887	3.688	4.112	3.7068	5.6735	4.602	4.099	5.4934
K00063	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K00064	9.298	9.2176	9.3214	8.7562	9.312	9.1745	8.2106	8.3251	8.3716	8.1588	8.2781	8.1999	8.2654	8.1885	8.8649	8.8797	8.2166	8.1246	6.9791	7.7194	8.1881	8.6327	8.3384	8.026
K00065	10.443	10.385	10.339	10.253	10.363	10.268	10.161	10.48	10.372	10.292	10.361	10.11	9.4452	9.518	9.731	9.8515	9.3137	9.1827	6.7083	8.7377	9.4943	9.7615	9.6854	9.5672
K00066	9.1654	9.3334	9.3065	9.1992	9.0817	9.0833	9.0301	9.3597	9.1014	9.1921	9.1429	9.0336	8.557	8.468	8.8464	8.7758	8.2812	7.8353	6.241	7.9053	8.6576	8.693	8.6622	8.373
K00067	11.082	10.813	10.792	10.751	10.876	11.268	10.867	11.086	11.191	11.177	11.039	11.075	11.46	11.467	11.445	11.567	10.969	10.695	8.1046	10.37	11.056	11.035	11.194	10.738
K00068	7.6965	7.3769	7.4686	8.1203	7.5528	8.2209	8.3055	8.5354	8.6104	8.7934	8.5709	8.7794	8.1299	8.2221	8.2162	8.1055	8.2494	7.6283	6.9791	8.9642	8.5151	8.205	8.4526	8.2313
K00069	4.9924	5.4018	5.2713	5.6999	5.9113	5.3522	5.7151	5.3245	5.4086	4.4666	5.2677	4.7449	4.1241	3.5887	4.099	4.1241	4.9891	3.688	5.7913	3.7068	3.5505	5.2697	3.5696	3.631
K00070	3.4744	3.4898	5.2713	4.9612	4.0955	4.0472	5.2993	4.8741	5.1368	5.698	5.1209	5.4086	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.9383	3.5505	3.9738	4.099	3.631
K00072	3.4744	3.9928	4.088	3.5696	3.567	3.5305	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.6596	4.0737	5.1871	4.099	4.8337
K00073	7.4889	7.7726	7.6439	7.7542	7.9639	7.6278	7.4844	7.5246	7.6651	7.802	7.7805	8.0212	7.2324	6.9097	7.3335	7.067	7.011	5.1282	5.1511	7.5554	7.407	6.9541	7.546	7.4689
K00074	11.319	11.301	11.357	11.285	11.432	11.534	11.171	11.452	11.557	11.631	11.429	11.578	11.712	11.817	11.694	11.721	11.315	11.275	7.4594	11.369	11.186	11.204	11.304	10.643
K00075	11.049	10.804	10.94	10.784	11.09	11.143	10.711	10.975	11.043	10.928	10.907	10.868	11.512	11.634	11.458	11.586	10.925	10.822	8.2833	9.8334	11.084	11.074	11.106	10.851
K00076	8.9059	9.0114	8.8607	8.3622	8.9941	8.1953	8.2216	8.5681	8.6217	8.4591	8.5157	8.0595	8.9726	8.9668	9.7799	9.4948	8.8951	9.2837	5.4225	7.9403	8.9699	9.4855	9.1536	8.7666
K00077	11.025	11.191	11.208	11.003	11.3	11.361	10.894	11.194	11.242	11.254	11.006	11.07	10.844	10.936	11.137	10.987	10.49	10.382	8.0288	11.855	10.53	10.8	10.711	10.27
K00078	5.843	5.0165	5.2713	5.5175	4.4648	4.4116	6.0472	5.7691	5.6138	5.698	5.961	5.4086	5.1644	5.4354	4.4686	4.9891	5.4354	4.2529	6.5364	5.4697	5.3813	4.7508	4.4686	5.6966
K00079	5.9002	5.9757	6.4467	6.7941	6.6376	6.6149	4.7613	4.8741	4.9612	5.4066	5.7631	5.9148	7.7895	7.7103	7.6172	7.8146	6.8199	5.8547	4.7594	5.4697	7.1006	5.0959	7.0763	5.0496
K00081	3.9721	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K00082	7.7421	6.9974	7.491	7.293	7.1717	7.1205	6.3261	6.5616	6.695	6.0837	6.5395	6.0856	7.067	6.7207	7.0763	6.7716	6.8432	6.6108	6.1488	4.9383	6.7442	7.1015	6.9656	6.504
K00083	3.9721	3.4898	4.088	4.7449	5.4048	4.6865	4.7613	3.5117	3.5696	3.5682	4.4529	4.7449	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.9383	3.5505	5.0959	4.099	3.631
K00084	3.9721	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K00085	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K00086	6.9749	7.0774	7.3981	7.1753	7.7333	7.7639	7.3221	7.7043	7.3596	7.4669	7.3823	7.7283	7.5402	7.7638	7.5974	7.5831	7.3599	7.0612	6.1488	7.2218	7.2093	7.1112	7.7017	7.1936
K00087	10.159	10.319	10.259	10.44	10.351	10.264	10.925	11.106	11.118	11.022	11.096	10.602	9.3423	9.2889	9.0011	9.0511	8.6769	8.2373	6.6545	8.6651	8.8067	9.0478	8.5875	8.7446
K00088	11.803	11.651	11.665	11.6	11.659	11.747	11.474	11.639	11.88	11.993	11.654	11.731	12.2	12.044	12.429	12.081	12.058	11.914	8.2413	14.676	12.089	11.867	11.95	11.586
K00090	7.6069	7.4205	7.7252	7.3724	7.4879	7.2784	7.3084	7.3979	7.1271	7.5333	7.3315	7.5974	7.8628	7.9456	8.8588	8.4091	7.981	7.5688	4.7594	7.3251	7.7439	7.9705	7.9113	7.5757
K00091	10.414	10.537	10.622	10.587	10.728	10.586	10.153	10.491	10.37	10.454	10.281	10.337	10.451	10.317	10.604	10.657	10.309	10.077	7.7934	9.2563	10.207	10.237	10.398	9.8873
K00093	3.4744	4.3512	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	4.9452	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K00094	5.5639	5.5866	5.3967	5.4086	4.741	5.0788	5.8642	5.9533	5.9148	6.1811	5.961	6.2706	5.1644	4.1241	4.099	5.64	5.3106	3.688	4.112	5.4697	5.9498	5.3451	5.2834	5.4934
K00096	8.089	8.1231	8.1257	8.3992	8.2701	8.3671	8.154	8.7504	8.8149	9.234	8.7425	9.2063	9.1974	8.5322	9.34	8.7724	9.0456	9.1276	7.2496	12.058	9.1242	9.0123	8.6513	8.4985
K00097	10.773	10.723	10.734	10.716	10.95	11.057	10.649	10.81	10.926	10.9	10.838	10.878	11.247	11.106	11.182	11.164	10.807	10.685	8.0674	9.7585	10.848	10.751	11.121	10.398
K00098	8.5188	8.4516	8.3497	7.7017	8.2494	7.7234	7.4729	7.76	7.5772	7.6631	7.602	7.4339	7.1197	7.3054	7.5027	7.9088	7.1697	7.2847	4.7594	6.9966	7.519	7.7415	7.385	7.5179
K00099	10.865	10.671	10.77	10.782	10.968	11.155	10.606	10.876	10.966	10.962	10.862	10.814	11.259	11.29	11.311	11.28	10.689	10.467	7.7066	9.7585	10.938	11.029	11.003	10.682
K00100	11.984	12.035	12.068	11.4	12.014	11.501	11.072	11.303	11.333	11.427	11.179	11.423	11.685	11.553	12.115	11.64	11.552	11.504	8.6847	14.184	11.672	11.698	11.548	3.631
K00101	10.696	10.442	10.567	9.8256	10.485	10.085	9.6374	9.7531	9.7262	9.5602	9.5399	9.0255	10.203	10.248	10.966	10.775	10.145	10.481	7.0175	9.1138	10.144	10.779	10.437	9.9596
K00102	10.181	10.381	10.431	10.053	10.359	10.294	10.135	10.303	10.313	10.405	10.181	10.366	10.174	10.248	10.641	10.644	9.9441	10.095	7.2198	11.644	10.077	10.412	10.12	9.7043
K00103	8.5604	8.3556	8.2147	7.6367	8.239	7.8179	7.4005	7.5442	7.5027	7.6537	7.1603	7.4339	7.1197	7.0849	7.4457	7.03	7.2016	6.973	7.6112	6.4455	7.6287	7.603	7.2212	7.1417
K00104	11.037	11.016	11.186	11.207	11.314	11.291	11.261	11.46	11.604	11.519	11.447	11.269	11.154	11.357	11.373	11.352	10.603	10.556	8.0022	9.8975	10.892	11.022	11.051	10.674
K00105	8.0678	7.7351	7.5236	7.0587	7.0551	7.0724	7.7352	8.0351	7.5137	7.3704	7.6214	6.8621	7.4954	7.2475	7.2062	7.3599	7.3466	7.4652	4.7594	6.634	7.4188	7.494	7.1909	7.3194
K00106	6.7281	7.2582	7.335	7.0587	6.5506	6.438	7.0002	6.7371	6.7459	6.4215	6.97	6.4579	5.3106	5.4354	5.8492	5.4354	5.1644	4.9129	6.8972	6.2072	6.11	6.5978	5.8492	5.3694
K00107	5.7816	6.2407	5.9644	6.6412	6.4876	5.6454	5.533	5.7691	5.7779	5.2814	5.2677	4.4686	3.5887	4.1241	4.4686	4.496	4.1241	3.688	4.112	3.7068	5.1087	4.8803	5.1368	4.5558
K00108	11.73	11.853	11.9	11.074	11.755	11.097	10.159	10.525	10.317	10.342	10.27	10.298	11.31	11.34	11.935	11.75	11.33	11.301	7.4356	10.961	11.221	11.673	11.571	10.782
K00109	7.3085	7.3429	7.2813	7.3596	7.303	7.5418	6.2854	6.865	6.4579	6.456	6.2561	6.6685	4.7729	4.9891	6.3876	5.544	5.544	5.1282	4.112	4.6596	5.3813	5.6449	5.7779	5.9302
K00111	11.776	11.597	11.699	11.346	11.638	11.562	11.49	11.741	11.747	11.757	11.588	11.647	11.989	11.845	12.206	11.894	11.694	11.722	8.3909	13.87	11.824	11.891	11.721	11.441
K00112	7.536	6.9633	7.5654	7.7457	7.0551	7.6636	8.5161	8.6138	9.0496	9.1117	8.7946	9.0988	8.4855	7.8146	9.0886	8.1178	8.9552	9.1247	6.3244	12.092	9.1218	8.7466	8.6403	8.2196
K00113	8.4309	8.7711	8.9228	8.6513	9.0186	8.3803	8.6199	8.8478	8.9011	9.2545	8.8628	9.1463	8.597	7.9383	9.2203	7.9949	9.0152	9.2437	6.8075	12.5	8.8435	8.5915	8.5523	8.1958
K00114	10.548	11.713	11.556	11.303	11.692	11.0	9.2597	9.3654	8.8801	9.1092	9.0318	9.2591	8.7484	8.8481	9.1968	8.9813	9.1276	8.6817	6.5973	7.7719	8.816	8.8199	8.9873	8.494
K00115	4.9924	4.8399	4.4565	4.099	5.4048	3.5305	3.5807	4.384	3.5696	4.7428	4.4529	4.099	3.5887	3.5887	4.099	5.1644	3.5887	3.688	4.112	4.6596	4.4409	4.4283	4.099	4.1794
K00116	8.089	7.4824	7.7758	7.004	7.3165	7.3904	7.5615	7.5147	7.8591	7.7607	7.6683	7.9113	9.1147	9.1301	9.1682	8.3809	8.8026	9.0732	5.928	11.407	8.9083	8.5555	8.6067	8.1144
K00117	11.636	12.402	12.288	11.547	12.158	11.171	10.038	10.218	9.7737	9.8804	9.89	10.023	9.7113	9.9723	10.027	9.9918	9.8815	9.5762	8.1752	11.666	10.079	9.7848	10.077	9.7414
K00118	8.9236	8.7942	8.6384	8.319	8.5242	8.8497	7.9628	8.1409	8.0595	8.3601	7.9383	8.1321	9.4791	9.307	9.2903	9.1454	9.158	8.9771	5.928	7.9825	9.1624	8.8787	9.1064	8.6993
K00121	10.919	11.238	11.122	10.518	11.17	10.499	9.861	10.207	9.9699	9.9019	9.9332	9.739	10.674	10.688	11.134	11.192	10.639	10.786	6.0455	9.2673	10.393	11.0	10.757	10.116
K00122	10.248	10.478	10.532	9.7533	10.471	9.7367	9.6496	9.8467	9.5753	9.3586	9.6274	9.114	9.8377	9.7879	10.308	10.379	9.6671	9.9386	7.0544	8.3986	9.5216	10.082	9.8271	9.3998
K00123	12.42	12.191	12.283	12.236	12.242	12.187	12.572	12.789	12.843	12.799	12.812	12.587	12.369	12.526	12.712	12.589	12.065	12.117	8.4717	12.909	12.144	12.282	12.223	11.84
K00124	10.115	9.807	9.9771	9.9685	10.052	10.223	9.9934	10.245	10.199	10.157	10.036	9.7721	9.6945	9.648	9.8802	10.157	9.5854	9.5847	7.9749	9.8958	9.4244	9.8567	9.7768	9.2788
K00125	7.1564	5.4018	6.1245	7.293	6.0821	6.808	8.545	8.7066	9.114	8.7869	8.7524	8.599	7.1533	7.1533	7.3975	7.6439	7.4239	6.9256	6.4711	7.5425	7.6746	7.5317	8.0146	7.2267
K00126	7.7927	7.3312	7.2389	6.5841	7.343	7.3298	6.1978	6.9597	6.5541	6.3094	6.3357	7.0587	6.7207	6.9718	7.5974	7.1197	7.011	6.8229	4.7594	5.9548	6.768	7.1397	7.1753	6.9222
K00127	9.5873	9.4173	9.474	9.2815	9.684	9.4786	9.0301	9.3692	9.1609	9.2086	9.0265	8.8402	9.7767	9.8423	10.187	10.174	9.7246	9.7964	6.8534	8.4894	9.3911	9.7552	9.806	9.2715
K00128	12.678	12.553	12.646	12.251	12.655	12.402	11.854	12.13	12.102	12.191	11.822	12.171	13.077	13.103	13.189	13.196	12.742	12.832	8.1286	13.038	12.614	12.819	12.694	12.254
K00129	8.2355	7.7578	8.0026	7.5565	8.0431	7.6811	7.9198	7.9104	7.7017	7.5752	7.8126	7.1435	7.3731	7.3731	7.6074	7.4722	7.1697	6.7076	4.7594	6.0902	7.3582	7.1942	7.0408	6.7765
K00130	10.554	10.24	10.348	9.8816	10.35	10.168	8.9884	9.4177	9.0963	9.2791	9.2408	9.3506	10.023	10.23	10.172	10.117	9.7799	9.6447	6.5973	8.8257	9.7844	10.021	9.9173	9.6137
K00131	8.8723	8.9114	8.9902	9.1897	9.1854	9.3987	8.9799	9.2273	9.4675	9.2923	8.9724	8.9564	8.8577	9.2381	9.2455	9.2404	8.5154	8.4111	4.7594	7.9053	8.6681	8.7753	8.8086	8.6916
K00132	7.3652	7.7945	7.9693	8.0146	8.0804	8.3358	7.572	7.7905	7.8514	7.7774	7.836	7.546	6.9309	6.9515	6.8838	6.9097	6.4833	6.5025	5.6274	5.7933	6.2857	6.8063	6.3503	6.3916
K00133	11.249	11.214	11.225	11.119	11.306	11.317	10.934	11.167	11.28	11.308	11.217	11.356	11.706	11.724	11.771	11.746	11.267	11.047	7.7246	12.405	11.327	11.361	11.512	11.071
