binID	SF2_A_D1	SF2_A_D2	SF2_A_H2O	SF2_B_D1	SF2_B_D2	SF2_B_H2O	SF2_C_D1	SF2_C_D2	SF2_C_H2O	R1_A_D1	R1_A_D2	R1_A_H2O	R1_B_D1	R1_B_D2	R1_B_H2O	R1_C_D1	R1_C_D2	R1_C_H2O	R2A_A_D1	R2A_A_D2	R2A_A_H2O	R2A_B_D1	R2A_B_D2	R2A_B_H2O	R2A_C_D1	R2A_C_D2	R2A_C_H2O	R2_A_D1	R2_A_D2	R2_A_H2O	R2_B_D1	R2_B_D2	R2_B_H2O	R2_C_D1	R2_C_D2	R2_C_H2O	R2_restored_C_black	R2_restored_DShore	R2_restored_H2O
R1_B_H2O_metabat.7	-1.989	-1.8732	0.12941	-2.333	-2.6541	1.3239	-1.8826	-1.23	2.9234	-2.1086	-1.2039	17.41	-0.063941	-2.0904	16.174	-0.3541	-2.0773	11.153	-1.4394	-0.99573	3.7915	-1.2651	-1.4109	2.3412	-2.1686	-1.2745	1.8261	2.4395	-0.61975	6.5387	-1.6366	0.25611	5.2418	-0.6357	-1.4822	3.0602	-2.3944	-2.1106	10.972
R1_C_D1_concoct.45	-2.7746	-2.2836	-3.7346	0.36231	3.1889	-2.8661	-0.31668	-0.24455	-8.8333	12.475	13.171	7.328	10.358	12.843	6.0532	13.135	12.207	9.7428	-3.3109	-2.3906	-3.0073	1.3263	-0.98934	-3.5528	-1.2359	-1.4763	-4.4444	12.106	9.9154	0.93038	10.145	11.611	4.6692	12.568	12.009	4.3252	12.346	4.6102	-0.39306
R1_C_D1_maxbin.047	-0.77287	0.24454	0.29763	-1.1783	-1.1244	1.8958	0.03902	1.0424	2.3423	14.168	16.112	7.0734	11.451	15.178	5.0896	12.758	11.331	3.9662	0.27708	-1.7729	1.87	-1.7584	-0.50569	0.58544	-1.733	0.61405	-0.69788	2.3996	1.0833	-0.29219	2.5185	10.232	2.9447	3.1936	6.5397	0.42445	6.764	-1.6935	6.4758
R1_C_D1_metabat.19	0.10268	-1.9265	-1.5253	-0.75718	1.0584	2.2592	-2.2123	1.279	0.39821	19.511	19.966	9.7115	16.389	18.982	8.3502	18.423	18.473	11.049	-0.047538	0.31138	0.34614	3.7267	0.59755	1.1562	1.66	-0.53174	-0.66033	12.916	9.7737	2.5829	12.596	13.229	10.777	14.894	12.556	9.1621	18.844	9.428	0.41282
R1_C_D1_metabat.27	5.6774	12.332	4.5615	6.491	5.7035	4.6424	9.883	6.3924	3.5829	14.887	15.99	10.97	15.026	12.827	11.472	14.673	11.712	9.2363	0.32017	-0.20618	2.0367	2.1452	2.6513	1.6052	1.0506	2.6632	3.014	9.194	7.6329	6.1687	12.397	11.626	8.0962	14.611	11.291	6.5635	16.009	4.6626	-0.093217
R1_C_D1_metabat.31	0.5946	5.8302	-5.923	9.345	11.507	-3.1222	5.9958	12.656	-3.48	13.601	8.2887	3.0589	17.052	9.2829	4.565	15.067	15.301	5.3336	-0.27306	2.152	0.15493	2.1347	-0.83234	1.2058	0.47821	-1.9574	-1.9019	9.0251	12.774	20.543	10.762	11.656	19.599	9.8337	9.711	19.579	10.65	5.1273	-1.674
R1_C_D2_concoct.36	3.9296	3.5943	3.0208	3.0471	4.4418	3.0798	2.9876	5.1673	1.9453	12.45	11.985	2.6184	13.4	10.703	2.4917	13.264	15.974	8.9444	4.654	5.2355	-0.46606	5.2172	2.7297	0.83911	3.9564	2.0578	2.1321	12.608	12.432	4.9246	13.03	14.738	7.4198	13.694	14.411	6.6538	13.638	2.0115	12.476
R1_C_D2_concoct.85	-1.8267	-0.38053	0.15251	-0.44332	1.4128	3.2199	-0.78139	1.9737	3.8005	18.349	19.64	10.208	16.059	17.461	8.6197	14.401	14.955	12.724	3.5644	-0.10717	2.288	0.96011	-0.48413	2.2528	0.094048	1.3344	1.0999	14.199	8.5785	3.1303	11.324	14.724	5.2418	11.818	14.564	5.0766	11.047	0.81605	0.17275
R1_C_D2_metabat.30	-1.0665	0.25419	-0.58331	-0.0861	1.2302	1.676	-0.42402	2.1865	0.76084	17.411	18.144	12.531	14.841	17.346	11.324	16.803	16.383	12.691	1.9072	0.14248	11.162	3.8277	1.5049	11.681	0.79371	1.2466	5.8704	14.189	12.712	3.9829	14.03	13.436	9.654	15.388	13.92	8.2128	17.897	10.824	5.391
R1_C_D2_metabat.40	-4.6085	-2.0963	-1.14	-1.593	-0.1952	1.3069	-2.4367	0.44844	1.6479	18.996	17.839	11.191	15.339	17.574	8.8376	16.303	16.153	14.228	-2.1192	-0.3709	-1.5684	2.4046	0.84647	-0.31462	-0.50454	-0.12341	-2.1496	15.914	13.204	5.2862	10.509	14.722	7.5288	7.1349	11.735	7.5836	1.8786	1.5159	-0.7392
