binID	SF2_A_D1	SF2_A_D2	SF2_A_H2O	SF2_B_D1	SF2_B_D2	SF2_B_H2O	SF2_C_D1	SF2_C_D2	SF2_C_H2O	R1_A_D1	R1_A_D2	R1_A_H2O	R1_B_D1	R1_B_D2	R1_B_H2O	R1_C_D1	R1_C_D2	R1_C_H2O	R2A_A_D1	R2A_A_D2	R2A_A_H2O	R2A_B_D1	R2A_B_D2	R2A_B_H2O	R2A_C_D1	R2A_C_D2	R2A_C_H2O	R2_A_D1	R2_A_D2	R2_A_H2O	R2_B_D1	R2_B_D2	R2_B_H2O	R2_C_D1	R2_C_D2	R2_C_H2O	R2_restored_C_black	R2_restored_DShore	R2_restored_H2O
R2A_B_D2_concoct.54	4.1141	12.005	2.1614	3.5919	3.6763	0.8271	4.0963	10.969	0.55358	-3.1053	-3.5043	-4.1625	-3.3635	-3.1046	-3.8489	-2.8003	-3.4052	-4.1982	1.9687	9.5228	-1.3835	7.9057	18.164	-0.45155	9.7744	14.523	0.37828	-1.8143	-0.30997	1.2393	-1.3522	2.3013	-5.3326	-3.2691	-2.5851	-1.0527	-0.54393	12.768	1.5282
R2A_B_D2_metabat.6	15.216	17.651	11.585	17.35	18.133	10.536	18.261	20.002	8.9662	-2.5603	-1.7347	-5.1643	-2.8447	-1.8255	-4.8775	-3.4868	-3.2171	-5.0399	9.1793	3.863	6.8297	12.819	19.545	6.1313	12.36	17.41	11.04	-2.7866	-2.1816	0.035811	-4.2818	-3.8733	-3.9735	-3.0765	-4.4471	-3.8248	-1.8514	6.1299	4.4957
R2A_B_H2O_concoct.59	0.78005	0.15603	16.772	0.4483	-0.47713	19.543	0.60113	-0.99273	19.501	-5.1523	-3.9796	-1.3775	-5.1733	-4.6595	-1.5189	-7.789	-5.4416	-4.1241	1.1983	0.21627	17.474	-0.38979	0.03202	17.821	0.030284	-0.46558	15.695	-5.25	-5.6391	-1.7512	-6.6629	-4.9919	-1.9952	-5.4123	-3.6741	-3.8248	-3.9969	-6.9136	0.83531
R2A_B_H2O_concoct.69	1.722	-1.1408	15.782	-2.2604	-2.2836	17.973	0.34889	-1.9449	17.875	-5.7437	-4.2927	-1.4246	-6.5017	-5.2269	-1.547	-5.8883	-6.9193	-3.0209	-0.53345	-1.0805	17.493	-1.5641	-0.61677	16.775	-0.63894	-1.6235	15.258	-3.4037	-5.8515	0.035811	-7.4223	-4.757	-3.2309	-7.2428	-4.0577	-3.8248	-5.5743	-2.928	17.489
R2A_B_H2O_concoct.80	-0.19445	-0.73435	15.887	-1.8022	-1.6987	18.569	-0.71061	-2.2422	18.748	-5.7946	-4.6777	-2.4014	-6.1643	-5.6751	-0.91468	-9.8895	-8.3645	-3.4231	-0.86438	-0.74196	17.748	-1.2259	-1.0167	17.786	-1.213	-1.3395	15.932	-8.3391	-6.1803	0.81955	-8.7301	-8.4691	-3.2309	-6.9737	-7.6455	-3.8248	-5.1666	-6.2977	3.3991
R2A_B_H2O_maxbin.029	1.7395	-0.40582	15.449	-1.7122	-1.6987	17.694	0.92568	-3.2749	17.834	-7.1915	-5.6898	7.4678	-6.6671	-7.0546	1.4971	-3.5127	-7.7664	-1.2412	-1.5539	0.27613	16.54	-0.85413	0.39805	16.765	-0.67388	-0.53174	14.663	-5.3373	-6.1803	1.6931	-6.8271	-6.8591	-5.3326	-5.2408	-5.9042	-2.3	-3.6114	-5.0736	12.014
R2A_B_H2O_metabat.10	-0.024825	-2.4562	12.761	-3.7351	-3.3419	16.291	-0.71061	-3.7835	16.687	-5.0147	-4.2665	-1.6252	-3.5367	-5.7802	-1.2179	-6.1097	-8.9451	-4.6519	0.33437	2.9309	21.34	0.81893	3.0403	21.088	2.6096	1.388	20.19	-4.9679	-4.725	5.8894	-6.4056	-6.9802	0.45621	-6.8126	-5.9042	-1.3347	-3.3284	-4.4218	9.4631
R2A_B_H2O_metabat.42	0.23859	-1.3095	18.492	-1.8968	-1.7449	21.043	-0.20306	-2.4115	21.043	-4.5286	-4.2665	0.97948	-4.9597	-5.5758	3.4373	-5.5564	-6.0355	-0.48331	-1.9247	0.61894	17.896	-0.97072	0.98097	18.269	0.87885	4.2263	16.33	-5.0118	-4.8475	3.1863	-6.5858	-6.8013	0.15701	-5.3417	-6.972	-1.1888	-4.5605	-4.0461	15.352
R2A_C_D1_concoct.10	4.6953	3.4514	3.1158	1.9932	1.174	2.434	2.7862	0.5148	2.4025	-4.4086	-3.9578	-3.8216	-3.9481	-4.067	-3.5312	-3.75	-5.189	-5.7622	6.7227	10.963	1.1199	8.7806	10.935	4.1493	18.272	15.493	4.7298	-5.6078	-4.6108	4.3245	-5.1963	-4.9607	-5.3326	-4.0943	-6.6435	-6.0307	-3.3131	4.0755	3.5773
R2A_C_D1_concoct.15	2.5358	1.9892	2.1961	0.44179	-0.094266	1.203	1.0917	-0.1003	0.99053	-4.9498	-5.0895	-6.2633	-5.0991	-4.0275	-8.3526	-8.824	-5.8309	-8.5157	2.96	14.414	-1.6246	14.339	15.694	2.1313	19.036	19.749	4.4868	-5.5665	-5.1223	4.8548	-7.3654	-5.2155	-5.3326	-5.5628	-5.8248	-6.0307	-4.9938	-2.6746	-3.6411
R2A_C_D1_concoct.52	6.7518	4.2094	11.121	1.0309	0.58019	10.995	6.4995	-0.83119	11.428	-10.506	-12.342	-9.0922	-9.3267	-5.5758	-9.3027	-12.972	-13.076	-9.9868	10.289	16.086	6.8349	13.337	16.087	7.8028	18.012	17.131	8.7583	-9.6249	-8.2139	2.2389	-10.865	-16.368	-3.2309	-11.893	-15.483	-3.8248	-14.686	-1.4374	-0.093217
R2A_C_D1_concoct.8	4.1499	3.983	2.2589	4.7262	6.5531	0.68274	2.7862	4.9251	0.48812	-0.5169	-0.094438	-3.3889	-1.7536	-0.5811	-4.2859	-0.54018	-1.4723	-3.9684	4.6637	10.503	0.32302	13.055	19.625	2.7485	20.233	21.675	3.4312	-3.0627	-2.3688	6.9125	-2.9188	-2.8738	0.04872	-1.7795	-3.2379	-0.288	-0.41981	11.233	1.3694
R2A_C_D1_maxbin.009	7.6309	6.8751	6.3283	5.7473	5.4804	3.8746	6.4068	5.1224	3.1535	-1.4786	-1.3274	-2.3747	-1.0895	-1.1763	-2.9906	-0.79306	-1.1961	-3.4231	8.289	16.374	1.0586	16.853	14.174	6.5747	21.696	16.213	8.0491	-2.5038	-2.646	9.5445	-2.1103	-2.3831	0.36035	-0.76337	-2.9264	-0.58341	0.29398	8.1137	2.2243
R2A_C_D1_metabat.16	1.3521	1.7353	1.6014	-0.014518	-0.066205	2.9973	0.56887	2.8923	3.3239	-2.2145	-2.0506	-2.2224	-3.5954	-2.5172	-2.8108	-3.1299	-3.3364	-4.1241	1.5076	11.008	1.0938	11.758	15.833	4.1847	18.318	17.949	5.7707	-4.5472	-4.2182	3.1863	-3.5338	-4.6251	-0.58323	-3.4182	-4.0717	0.054674	-1.9188	14.656	0.41282
R2A_C_D1_metabat.17	6.7411	12.243	5.6074	4.1227	4.1775	5.9425	4.9863	9.5341	6.4175	0.16265	-0.018459	0.92848	-1.2357	-0.74333	0.74968	-0.88653	-1.2273	-0.86047	4.2971	10.716	8.6613	10.39	16.709	7.6188	18.421	20.396	6.4183	-1.5429	-0.89287	5.1263	-0.90246	0.55426	1.1204	-0.46411	-1.7098	2.4353	2.6484	14.942	4.4273
R2A_C_D1_metabat.18	8.4183	8.1262	7.5951	5.9896	4.7171	4.7149	6.2325	3.7914	4.5411	-3.2502	-3.5209	-3.1657	-3.2222	-2.0039	-4.0336	-3.226	-3.1353	-4.8075	11.23	16.232	2.0627	14.593	14.26	5.4067	17.373	13.598	7.931	-4.593	-5.0734	1.3355	-4.4886	-4.2888	-3.2309	-3.2189	-4.8398	-3.8248	-2.3944	2.9784	-0.093217
R2A_C_D1_metabat.4	15.192	12.879	14.751	11.689	10.247	12.551	12.883	6.1961	12.317	-1.2047	-1.1227	-2.2469	-1.7536	-0.97496	-2.9285	-1.622	-1.6031	-3.3644	16.171	18.428	7.1677	17.709	18.184	12.759	20.805	21.435	14.121	-3.4619	-2.556	7.7908	-2.9557	-2.5542	-3.2309	-1.2772	-3.8735	-1.1888	-0.84716	3.8379	5.1165
R2A_C_D1_metabat.5	10.102	10.123	10.451	8.2658	8.4157	10.92	9.105	9.3458	11.271	2.2834	2.7338	1.1219	4.1487	3.1893	1.3347	4.4453	3.0815	0.22272	13.274	16.313	8.7369	16.762	18.889	11.845	20.116	20.134	13.399	1.1615	1.4771	6.9517	2.7278	2.058	3.4294	5.5781	0.66823	1.9354	6.9872	11.297	4.1405
R2A_C_D2_concoct.10	4.2074	7.7803	0.39342	3.2933	2.9896	-0.1918	4.2464	5.2209	-1.0328	-3.9814	-4.4596	-4.4958	-2.813	-3.2094	-5.5828	-3.1934	-2.8764	-6.1837	16.196	14.511	-0.99573	15.684	15.225	0.68583	17.852	19.46	0.41779	-3.2558	-2.2358	1.1399	-2.2021	-2.4267	-0.58323	-2.6655	-4.4124	-0.48053	-1.5187	3.4491	6.2344
R2A_C_D2_concoct.16	2.9418	3.6486	1.1999	1.6977	0.79747	0.53023	2.7699	1.7804	0.67984	-3.2042	-4.3194	-4.0178	-3.4708	-3.0273	-4.6946	-3.6623	-3.4169	-5.3454	4.4625	7.8865	-0.093356	7.6909	15.471	0.23561	13.826	18.57	0.58485	-3.9697	-3.3319	0.93038	-3.7137	-3.1047	-2.3194	-3.0494	-4.5556	-1.4923	-2.5926	0.58314	2.8056
R2A_C_D2_concoct.21	3.3071	9.8976	1.3371	4.3467	6.3741	0.19547	3.0899	9.8288	-0.47163	0.34973	0.53433	-1.91	-0.47811	1.0718	-1.7352	-0.55598	-0.43132	-2.9471	3.0634	13.724	-0.48232	10.21	18.62	0.63611	16.07	20.33	1.3406	-1.7799	-1.1548	1.6074	-2.0119	-0.53334	-1.2658	-1.36	-1.5607	-1.8526	0.27459	9.4885	0.83531
R2A_C_D2_concoct.31	5.4387	7.5143	3.4484	5.696	5.6422	2.7266	9.0029	10.85	2.4966	-3.3336	-2.4688	-4.9113	-3.0481	-2.4854	-4.4779	-2.9339	-3.7842	-6.2439	3.1464	6.1444	1.005	6.0078	12.907	1.6836	16.701	20.561	4.4446	-4.1739	-4.6108	1.2393	-4.3551	-4.703	-2.3194	-3.0494	-4.6127	-1.8526	-1.7298	0.67872	0.83531
R2A_C_D2_concoct.34	3.0093	6.4925	1.7552	4.4625	5.406	1.8816	7.2734	9.6965	1.5881	-2.6981	-2.2799	-4.2398	-3.3292	-2.9638	-4.6378	-3.3047	-3.7842	-5.5415	3.5355	4.0994	0.0405	3.6716	13.41	0.92174	15.464	19.645	4.6058	-4.2479	-4.4695	-0.67543	-2.8384	-4.338	-5.3326	-1.346	-3.3527	-3.8248	0.36072	7.9956	-1.674
R2A_C_D2_concoct.36	3.0637	2.5946	1.2693	1.6594	1.0855	-0.13247	1.6545	0.62182	-0.90806	-5.7437	-5.7504	-6.8504	-4.6918	-4.5496	-8.3526	-4.3148	-4.6709	-7.1732	2.6341	7.3698	-1.9006	8.6444	17.464	1.1311	15.901	18.327	1.9732	-5.4867	-5.5104	1.6074	-4.7242	-5.1568	-3.2309	-3.4634	-5.6058	-6.0307	-1.7112	-0.073968	-1.674
R2A_C_D2_concoct.4	9.1817	13.901	7.4477	9.763	11.037	7.1391	12.104	14.573	6.1988	0.61207	0.62073	-1.0894	-0.79275	0.39076	-1.4369	-0.23424	-0.96568	-1.8585	8.8206	7.8475	4.3422	7.6078	16.55	6.8199	15.89	20.456	10.941	-1.6997	-1.9406	0.70411	-0.66571	-1.8769	-3.2309	0.4999	-0.35925	-0.92522	4.7248	8.5416	-1.674
R2A_C_D2_concoct.41	2.2323	8.9865	0.12941	3.5518	5.1474	-0.16194	2.3418	8.924	-1.4614	-0.21563	0.018641	-2.1275	-1.06	0.25432	-2.4368	-0.95549	-0.76119	-3.0303	2.4613	6.7056	-1.6533	10.912	17.165	0.73466	17.677	19.57	1.2605	-2.389	-1.82	1.6931	-2.5796	-1.2729	-0.73422	-1.8465	-1.6425	-0.288	-0.55778	11.587	1.0244
R2A_C_D2_concoct.42	9.347	8.3897	5.9302	8.2362	7.4412	3.9073	8.3047	8.2585	3.6001	-0.8281	-1.0067	-1.8102	-0.074803	-0.23748	-2.1805	0.28968	-0.63944	-3.1788	13.37	15.605	1.766	15.292	14.189	8.0544	19.58	20.153	10.085	-1.4036	-1.0936	5.2231	-1.0416	-0.55893	-5.3326	-0.51983	-1.0318	-2.8986	1.3591	2.8625	2.0959
R2A_C_D2_concoct.45	6.5414	3.4479	6.8927	1.6765	0.95221	2.2592	3.2256	-0.77999	1.9181	-11.489	-10.9	-12.268	-8.6528	-6.1382	-13.689	-12.972	-10.759	-11.705	13.314	16.379	-1.2147	14.568	16.768	6.6213	16.826	20.12	8.0881	-11.523	-6.8178	0.81955	-13.414	-13.24	-3.2309	-14.095	-12.325	-6.0307	-9.8272	-4.6126	1.824
R2A_C_D2_concoct.49	-0.4948	6.8504	-2.0077	-0.5795	0.28982	-1.6312	1.5055	8.1969	-1.5153	-3.3959	-3.2157	-5.6303	-4.4771	-2.7674	-6.7661	-3.5258	-3.8746	-6.5065	-1.9661	8.0286	-3.9812	6.3272	16.695	-1.7287	14.046	19.877	-1.4325	-5.927	-5.1223	0.70411	-4.8484	-4.93	-2.3194	-4.145	-6.6435	-3.8248	-2.5144	8.1717	-3.6411
R2A_C_D2_concoct.51	10.02	10.314	6.4598	8.3796	7.9898	4.4998	12.518	9.3516	3.975	-5.0481	-4.0468	-3.2515	-3.1443	-3.2581	-3.9204	-4.1548	-2.231	-4.5556	7.6613	4.0586	0.93195	6.2569	12.68	1.6977	16.064	19.646	5.4484	-4.1921	-3.4023	0.32445	-3.5273	-4.7479	-3.2309	-2.9117	-5.0763	-6.0307	-1.0211	5.2256	-0.093217
R2A_C_D2_concoct.69	8.1319	8.8325	5.1797	9.0504	10.437	3.9073	9.0623	11.803	2.9746	1.6545	1.0552	-1.0364	1.7144	1.6225	-1.547	2.2657	1.0601	-1.9591	7.5689	9.7172	0.88531	9.5168	13.187	4.9208	14.886	19.653	6.2432	-0.50491	-0.18779	0.93038	0.3416	-0.14446	-0.44202	0.95642	-0.95903	-1.4923	3.099	8.1118	1.824
R2A_C_D2_concoct.9	5.721	5.5481	5.3264	3.6855	3.1865	4.9732	4.5016	3.8613	4.2077	-1.2465	-1.2178	-1.556	-1.3116	-0.6745	-2.3914	-1.2983	-1.6853	-3.3529	6.1545	12.437	3.3071	12.134	17.68	4.3294	16.981	20.079	4.7233	-2.6859	-2.4599	-0.12247	-2.187	-2.3251	-0.58323	-0.8908	-3.0596	-0.92522	-0.033468	5.8472	14.816
R2A_C_D2_maxbin.022	2.873	4.8419	1.352	1.5594	1.8207	0.03707	2.2581	5.7891	0.44355	-3.8108	-3.3922	-3.9498	-2.864	-3.1974	-5.4888	-3.0587	-3.4769	-4.9198	7.0117	14.119	0.19192	13.568	18.573	2.8713	19.16	21.028	3.7549	-4.183	-3.3844	4.4448	-3.5273	-4.2076	-1.0729	-2.3936	-4.7536	0.20922	-1.3743	10.836	-0.093217
R2A_C_D2_metabat.10	1.57	1.6126	0.80812	0.17383	-0.45224	-0.37954	0.70338	0.15594	-0.10717	-4.8269	-4.8162	-6.2633	-4.2569	-3.8604	-6.7661	-5.3144	-4.8821	-7.4949	0.89921	13.149	-1.3835	12.548	20.344	2.1251	18.556	20.563	3.607	-5.8299	-5.5104	5.0935	-4.5838	-4.6593	-2.3194	-5.026	-5.9873	-6.0307	-1.4319	2.8778	-1.674
R2A_C_D2_metabat.18	12.369	13.902	9.9448	12.03	12.243	8.0164	13.504	14.117	7.1879	-2.5371	-2.1016	-2.5125	-2.0921	-2.2982	-2.2208	-2.1791	-2.3413	-3.3993	5.4278	4.6818	11.934	6.094	13.39	8.9014	14.767	18.918	11.377	-2.3669	-2.1816	-0.47555	-1.8799	-2.9256	-3.2309	-0.52454	-3.0519	-6.0307	0.80935	1.9333	3.1144
R2A_C_D2_metabat.27	6.5115	5.876	3.6699	3.8262	2.9613	1.8529	4.1888	3.9584	1.4493	-2.576	-2.4418	-5.1643	-2.9366	-1.4898	-5.3995	-2.1671	-2.6364	-5.6265	5.0823	15.422	0.32302	10.106	17.787	1.4952	16.034	19.972	2.656	-3.4619	-2.556	1.858	-3.3713	-3.5273	-0.30921	-2.6441	-3.8986	-6.0307	-1.3437	3.5462	4.2144
R2A_C_D2_metabat.38	4.0184	3.5253	3.3325	1.8748	1.0675	2.3726	2.7082	0.96318	1.7644	-2.857	-3.5209	-3.7611	-3.5756	-3.2956	-3.7804	-3.9402	-3.6985	-5.1691	2.7241	3.9255	0.43659	3.8837	11.74	0.65611	15.037	18.595	2.3097	-5.3019	-4.1329	0.45722	-4.2614	-5.0024	-2.3194	-3.1509	-5.2636	-6.0307	-2.1921	3.1975	4.4957
R2A_C_H2O_concoct.67	0.03977	-0.90349	11.794	-0.71403	-1.5384	14.928	0.64092	-2.2693	15.279	-3.7946	-1.4486	-3.4871	-4.5111	-4.1699	-2.8687	-8.0841	-6.8347	-4.891	-0.6275	0.25236	21.777	-1.6347	-0.37936	20.347	0.26424	-1.2116	17.911	-6.0035	-5.4494	3.8461	-6.5484	-7.8662	0.15701	-3.6316	-6.2131	-1.6639	-3.5404	-6.4817	-1.1527
R2A_C_H2O_metabat.16	-1.9471	-2.7302	14.568	-3.5755	-3.1253	17.651	-2.04	-3.1801	17.802	-6.1977	-6.0158	-4.1625	-4.8102	-6.2054	-3.4192	-6.5754	-7.2992	-6.6529	-1.2868	-0.20618	20.333	-1.0053	0.21381	19.814	0.37908	-0.049753	18.83	-10.248	-5.3904	2.5167	-6.5484	-9.6606	-1.7198	-6.6639	-9.5687	-2.3	-4.693	-5.2596	4.4957
R2A_C_H2O_metabat.4	1.3126	-0.44431	17.088	-1.5441	-2.1624	18.105	0.76443	-2.6319	18.044	-4.4556	-4.0699	-0.42751	0.64693	-3.3864	-0.62599	-4.7973	-6.0904	-2.4965	2.0132	7.425	24.113	4.8996	8.2171	23.632	8.1343	5.9194	22.89	-7.3014	-1.0538	11.659	-4.1537	-7.6389	2.3855	-5.1766	-7.6455	0.86697	-4.1646	-4.3627	11.193
R2A_C_H2O_metabat.5	6.4884	4.8297	15.775	3.225	2.3132	18.122	4.4685	1.0544	18.181	3.6517	3.9711	2.3378	1.3898	2.1866	2.6576	2.4283	1.908	-0.45871	4.8469	6.4964	22.169	4.3786	5.4338	21.742	4.8626	5.2425	21.064	-1.263	-1.0637	6.0191	0.29353	-0.86854	0.36035	2.2877	-0.84394	0.68614	4.192	1.0196	7.8871
R2_A_D1_concoct.119	-4.2573	-3.2169	-4.1283	-2.5422	-0.57958	-2.185	-3.0922	-1.0785	-3.1778	13.526	13.23	9.6858	12.046	14.501	9.0074	12.166	10.338	10.426	-3.2228	-2.7234	-2.5256	0.40226	-0.96233	-2.0138	-1.5893	-3.1471	-4.3459	12.636	9.6524	6.4045	9.9293	9.7686	5.5925	11.176	16.57	7.1118	5.379	-0.66038	1.3694
R2_A_D1_concoct.29	3.129	2.8463	2.2419	1.6422	0.87591	0.48499	1.8077	0.38033	0.95353	2.1817	3.0904	-0.22092	1.9647	8.1621	-0.25655	3.1937	7.5521	11.246	2.5349	3.1045	7.2064	3.8804	2.4589	4.0668	3.3378	3.475	2.3517	13.608	8.2716	4.0713	2.7674	12.095	3.3141	2.3099	12.524	5.6245	2.5127	1.3716	1.2019
R2_A_D1_concoct.35	3.4983	4.7534	3.1909	3.0413	3.8281	2.3477	3.7293	4.8871	2.0257	2.9331	4.4024	1.3731	7.1206	7.1199	1.2445	4.2046	8.6913	11.353	8.9655	11.393	3.0212	10.917	10.745	3.6602	12.216	12.06	3.9862	13.821	10.295	2.3104	5.2887	12.217	3.072	8.5084	8.8396	5.361	4.8548	5.1096	10.72
R2_A_D1_concoct.49	6.2854	6.2978	7.3348	6.1345	5.7205	6.7942	6.0819	5.6194	6.2321	15.865	17.085	10.696	16.013	17.465	9.8135	15.621	15.635	12.282	11.868	11.263	8.6681	11.119	9.0103	9.7316	10.115	9.3274	10.301	14.441	12.543	5.3789	11.702	14.819	9.0337	14.098	12.675	8.3022	15.34	8.8682	8.0125
R2_A_D1_concoct.52	-4.8158	-5.2529	-7.9735	-4.5899	-4.2349	-4.918	-4.4817	-5.83	-6.059	0.97122	-0.63976	-2.1982	-0.40334	2.5022	-3.4192	4.1939	3.4938	9.7411	-12.29	-7.7667	-5.4678	-1.7584	-4.676	-5.808	-4.8411	-3.4407	-4.6606	12.173	3.1721	-2.6604	0.41161	2.1019	-2.3194	-1.6319	-2.8161	2.7116	-0.92405	-3.0303	-1.1527
R2_A_D1_concoct.66	0.88557	0.44864	-0.0017177	0.36903	0.12151	-0.10336	-0.011548	-0.81827	-0.43892	-1.5091	-1.8088	-1.8896	-2.2086	-0.5402	-2.3618	-0.17769	3.9629	5.983	-2.0741	0.027446	-0.89445	1.4972	0.29222	-1.1936	-1.1236	-0.40133	-1.2594	11.917	12.913	-3.3873	3.6829	6.3898	-1.0729	-0.36543	0.41275	2.2888	-1.3743	6.5628	-3.6411
R2_A_D1_concoct.84	6.2184	5.4937	2.8472	5.3927	4.922	1.203	5.7939	4.8669	0.32865	12.922	5.2587	7.4058	11.345	7.2479	7.4631	13.431	8.9726	11.714	-0.031054	0.0011239	0.11738	5.5006	4.6281	-0.11669	3.2377	3.2698	1.9778	14.357	13.127	0.70411	13.123	11.448	5.0039	11.904	12.188	5.8838	9.6746	3.0411	0.63239
R2_A_D1_concoct.93	-3.6082	-4.1765	-5.923	-4.3322	-4.8621	-8.746	-5.0111	-4.7333	-3.6542	-1.3129	-0.44186	-1.8297	-1.1625	-0.46619	-3.5901	1.3355	2.8122	6.2816	-12.29	-3.9812	-3.274	-0.71315	-2.292	-5.808	-1.5618	-1.6235	-5.198	9.4393	5.7344	-1.1422	7.9691	8.1367	-0.58323	0.39652	1.2852	1.0913	-3.283	-3.0041	-1.674
R2_A_D1_concoct.98	-6.0473	-3.7406	-2.9714	-2.4345	-0.65969	-1.1555	-4.2684	-1.2143	-2.1609	16.847	17.242	11.704	14.831	16.417	9.9002	14.406	14.233	11.479	-3.8998	-2.1479	-2.8881	0.79469	-1.6612	-1.4555	-1.6455	-2.0512	-6.5502	12.748	8.758	2.0154	9.2577	14.404	5.172	11.622	12.108	4.3677	12.334	3.7739	1.5282
R2_A_D1_maxbin.001	0.19411	1.4601	6.8959	-0.84619	-0.97166	10.075	0.088549	-0.47403	9.2152	-2.26	-1.646	2.2969	1.0835	1.3352	0.66681	-2.0013	3.3411	9.0349	7.5545	2.8122	8.0596	1.7015	2.8748	6.3572	1.8825	2.9249	4.4399	11.668	6.7642	-0.29219	2.3802	9.2585	-1.2658	-1.081	10.279	2.9992	2.1713	5.3949	46.052
R2_A_D1_metabat.10	-1.3182	-1.6045	-2.4452	-0.83486	0.55855	0.55256	-0.78139	0.91959	-0.57276	18.081	18.255	12.389	15.294	17.037	11.331	16.884	16.376	12.33	0.38345	-0.02549	4.5308	4.0687	1.1772	5.4067	0.96148	0.57194	0.88406	13.685	12.422	4.1577	14.381	13.261	9.789	15.429	13.124	7.2735	17.461	8.8663	3.5773
R2_A_D1_metabat.12	7.1259	6.5889	7.1938	5.4034	6.118	8.8985	6.2575	5.9659	8.9481	19.61	19.888	15.762	18.828	19.883	15.457	19.478	19.014	15.354	6.4355	7.8727	12.222	11.414	7.8728	11.305	9.8325	8.6195	9.5413	16.185	15.226	8.2685	17.041	16.862	14.324	19.139	16.444	11.534	18.683	12.95	10.227
R2_A_D1_metabat.24	-0.455	0.053803	2.9561	-1.36	0.58019	6.8123	-0.52396	0.32608	6.8208	8.0553	7.3749	1.6821	9.241	10.826	1.7284	5.6296	6.5702	13.518	-2.1421	-1.5684	5.8018	2.0706	0.7183	3.9262	0.66588	0.0040303	1.2373	15.505	11.147	7.2848	9.4793	13.183	5.7557	4.5814	10.804	7.1602	0.73892	3.7586	11.313
R2_A_D1_metabat.32	5.382	4.6061	2.7449	3.973	3.287	2.8154	4.3246	3.0418	1.6627	5.3758	4.8895	0.61395	6.105	6.0379	0.50416	4.3891	3.0675	8.9957	0.57742	-0.12106	2.4424	1.854	3.0403	0.51285	1.3427	2.4049	2.2758	12.131	9.3727	3.5057	7.3451	8.6996	3.2748	6.2573	8.9351	4.5331	4.3035	3.7467	4.3577
R2_A_D1_metabat.50	10.367	9.6368	9.295	8.0596	7.4235	9.171	8.6158	7.3737	9.0357	17.709	17.899	13.163	16.706	18.396	12.525	16.687	15.723	11.579	7.6548	9.4519	7.9997	9.5844	9.6532	7.6998	9.698	10.951	8.5672	12.674	12.855	9.8304	13.599	12.892	11.46	16.6	12.738	9.0576	16.681	10.816	9.3215
R2_A_D1_metabat.61	-2.9849	-2.8172	-0.56757	-1.8968	-0.56217	-1.0192	-2.5063	-3.047	-0.79033	-1.0772	-0.28391	-0.9848	-1.7191	1.1926	-0.83377	3.6899	8.6209	5.7537	-3.9651	2.8539	-3.7746	-0.44273	-2.0411	-5.808	-3.4461	-2.3657	-7.3674	12.461	13.773	7.8059	4.4158	8.2652	7.1906	-0.092702	4.6981	7.292	0.13186	10.625	0.83531
R2_A_D1_metabat.7	-0.66166	-0.063879	-0.59917	-0.18505	1.4687	1.924	-0.0013485	1.7182	1.465	12.257	13.211	7.9526	11.403	13.482	6.3311	11.262	11.731	14.074	-1.2147	-0.4987	2.6949	2.755	0.84647	1.35	0.68594	1.1561	-0.31646	15.994	12.139	1.858	10.305	13.793	3.8573	13.085	14.741	7.9665	10.472	3.0349	9.4167
R2_A_D1_metabat.9	-1.3182	0.064222	-1.5004	1.3018	3.8056	-0.62042	1.1647	1.3612	-1.6867	13.642	14.694	10.109	12.341	14.343	8.2385	13.157	13.155	12.614	-1.4876	-0.97508	-0.81683	2.8212	1.5348	-0.71809	0.030284	1.7683	-1.5442	14.564	11.392	0.81955	12.031	13.889	5.854	14.441	13.935	6.7309	12.738	5.1518	2.2243
R2_A_D2_concoct.19	-3.6082	0.0010267	-5.923	3.9954	6.6767	-4.918	-0.192	6.9052	-4.3211	4.1495	2.7467	5.9772	5.764	2.6303	8.87	6.5646	8.0359	4.0117	-3.0208	-0.85528	9.6041	-0.084132	-3.479	4.6865	1.2946	-1.4412	2.4789	4.4873	18.79	24.536	6.5442	7.5842	23.74	7.4748	6.9956	23.822	3.1475	2.4742	-0.7392
R2_A_D2_concoct.67	-2.2145	2.353	-4.9745	5.2971	8.0955	-5.9905	2.1822	9.2227	-4.3211	5.3485	3.59	4.2895	5.2826	3.2461	5.2031	5.6045	6.6663	2.4285	-2.0741	-0.59964	8.0938	0.060337	-2.6485	3.5112	0.93421	-2.4239	1.3179	2.744	18.308	24.121	4.1535	3.4242	23.374	3.7635	2.3295	23.187	2.9566	4.6035	-0.7392
R2_A_D2_concoct.9	-2.7746	2.5036	-5.1678	5.3112	8.0275	-3.5975	1.7374	9.2773	-4.3211	7.0014	6.5936	6.4564	6.4448	5.3516	7.9206	7.3768	7.9606	4.4734	-1.9661	-0.22068	9.5477	1.0873	-1.6998	4.6278	2.0145	-1.3067	2.3933	4.4881	19.245	24.776	6.3689	5.7377	23.781	6.4015	4.7223	23.735	3.5205	4.8508	1.3694
R2_A_D2_metabat.14	-1.7505	4.4982	-3.8247	7.5669	10.215	-1.203	3.5886	11.3	-1.8103	12.335	12.064	11.077	11.304	11.317	12.842	12.489	12.493	9.5026	-0.7483	0.77011	6.3771	2.6235	-0.16461	2.3933	1.9359	0.22421	0.33814	9.8391	17.458	23.436	10.465	11.634	22.822	9.8078	11.236	22.583	7.7582	7.0997	5.8841
