	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CO2_soilC_mg_g_d	CH4_ug_m2_h	CH4_CO2	CH4_soilC_ug_g_d	pH	Cl	SO4	Corg_LOI	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	C_g_m2	N_g_m2	P_g_m2	Fe	Mn	Cu	Zn	CH4_m2_lin	CO2_m2_lin	Salinity_lin	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Fe_pw	Mn_pw	Co_pw	Cu_pw	Zn_pw	Ca_pw	Sr_pw	Mg_pw	Na_pw	K_pw	Al_pw	Si_pw	Br_pw	F_pw
0	1	Sandmound_TuleA_D1	Sandmound_TuleA_D1	2.0	Sandmound	Tule	SF_Ref	FW	Ref	d1	2.0	s002_Sandmound_TuleA_D1	0	-0.22663385489312243	-0.576149646686895	1.9316265452578816	0.1705608740988573	-2.2132247884517744	0.6506051161221552	-0.5199557579767021	-1.7331805464284766	0.7895807121644255	1.1427022457376157	1.7134905430939424	1.1640552918934517	1.173186268412274	0.028571252692537637	-0.9829666607012196	-0.9208187539523752	1.5240064455573725	1.187520720836463	1.2022500008812513	2.558440079639794	1.3561900787585424	2.8536443395806472	-2.4448251995097476	3.763996904262238	2.628512865061324	1.6169749516675667					4.473064042	1.4810198319999999	0.593425419																					
1	2	Sandmound_TuleA_D2	Sandmound_TuleA_D2	85.0	Sandmound	Tule	SF_Ref	FW	Ref	d2	85.0	s085_Sandmound_TuleA_D2	1	-0.22663385489312243	-0.5617319083324664	1.9270489589321893	0.1705608740988573	-2.264711132120131	0.6506051161221552	-0.5199557579767021	-1.7846668900968332	0.7715874808812554	1.0301947853567512	1.9273703630390235	1.2011238972073797	1.1755118133634477	-0.015472686656207449	-1.0457574905606752	-0.2006594505464183	1.6824158616773586	1.1522883443830565	1.2833625455439244	2.6582995148131774	1.3749369692692528	3.0789358081163805	-1.8830753122237769	3.8154832479305942	2.5988866640670074	1.5686018601625396	4.424718337331567	2.8937617620579434	1.8129133566428555	1.954242509439325	4.473064042	1.4810198319999999	0.593425419	2.425115047997587	0.5360531551592047	0.9940090331236132	-0.0013048416883442813		0.30849327029831075		2.7891433774642778	2.434632766174142	-0.36653154442041347	0.5065050324048721		4.712353927188898	2.4049533875862443	4.3993521207035995	5.059785582018902		1.4022613824546801	4.021027132190326	0.15775888604686386	-0.3946949538588906
2	3	Sandmound_TuleB_D1	Sandmound_TuleB_D1	3.0	Sandmound	Tule	SF_Ref	FW	Ref	d1	3.0	s003_Sandmound_TuleB_D1	2	-0.21995579946076668	-0.6056046260251705	1.9021715659196061	0.6204849295803012	-1.7409316127669856				0.7972675408307164	1.1498346967157849	1.5998830720736879	1.171141151028382	1.1804126328383238	0.03662889536216113	-0.958607314841775	-0.1549019599857432	1.4562141553579888	1.250420002308894	1.2012782173465582	2.5411665929152796	1.3398883755687212	2.7704413071327343	-1.6111161153437321	3.7416277840588927	2.6071155283926717	1.6118793181887356					-0.282940133	4.173351163	0.602620915	2.3376499096595214	-0.05774384958053509	1.0707764628434346	-0.00899555966924482		0.33752581466564535	0.1880843737149381	2.7954768049453658	3.0700415627152773	-0.4089353929735008	0.13033376849500614		4.77136483871441	2.413199143665641	4.415253878397514	4.985287675282107		1.3144992279731516	4.080759568409797	0.17507672117621018	-0.36906388093580855
3	4	Sandmound_TuleB_D2	Sandmound_TuleB_D2	86.0	Sandmound	Tule	SF_Ref	FW	Ref	d2	86.0	s086_Sandmound_TuleB_D2	3	-0.21995579946076668	-0.5876560187756087	1.8964420041654262	0.6204849295803012	-1.7603420001980252				0.7671558660821804	1.1238516409670858	1.6095944092252201	1.1726029312098598	1.1332194567324942	-0.034798298974087975	-1.0457574905606752	-0.09691001300805639	1.548020694905531	1.1430148002540952	1.2741671918642852	2.6297785488156573	1.3556113569513724	2.948619852811504	-1.6449307079135873	3.7610381714899326	2.5536369413059843	1.5426777497193973	4.457881896733992	2.7686381012476144	1.8129133566428555	1.9731278535996986	-0.282940133	4.173351163	0.602620915	2.3376499096595214	-0.05774384958053509	1.0707764628434346	-0.00899555966924482		0.33752581466564535	0.1880843737149381	2.7954768049453658	3.0700415627152773	-0.4089353929735008	0.13033376849500614		4.77136483871441	2.413199143665641	4.415253878397514	4.985287675282107		1.3144992279731516	4.080759568409797	0.17507672117621018	-0.36906388093580855
4	5	Sandmound_TuleC_D1	Sandmound_TuleC_D1	4.0	Sandmound	Tule	SF_Ref	FW	Ref	d1	4.0	s004_Sandmound_Tule_C_D1	4	-0.24682438933915	-0.6190228416149829	1.9256037809240674	0.24661275839871527	-2.1316415416508288	-0.033443502871697686	-1.280056261270413	-2.4116978029212417	0.7965743332104297	1.1166077439882485	1.5987905067631152	1.2013971243204515	1.216165902285993	0.04257551244019059	-0.9430951486635274	-0.37675070960209955	1.4771212547196624	1.14921911265538	1.2255875735605983	2.5559104000291013	1.3303228264685032	2.7713689789898677	-1.853871964321762	3.75846554176115	2.599643929880889	1.6139732687771708					0.925883825	1.764463823	0.566468299	2.7431976504288222	1.2383974131812707	1.250420002308894	-0.09908693226233099		0.7091511923397957	0.30233092868439926	3.579373108687353	3.4819726315639583	0.3159703454569177	0.6785183790401139		4.888472389401378	2.7059235518890277	4.711740097948675	5.376758611084024	2.5701224514044116	1.3289908554494287	4.049852714344724	0.3044905277734877	-0.835647144215563
5	6	Sandmound_TuleC_D2	Sandmound_TuleC_D2	87.0	Sandmound	Tule	SF_Ref	FW	Ref	d2		s087_Sandmound_Tule_C_D2	5	-0.24682438933915	-0.5691764689698853	1.9102641209385467	0.24661275839871527	-2.1299254866912594	-0.033443502871697686	-1.280056261270413	-2.4099817479616727	0.7551122663950712	1.1370374547895128	1.813580988568192	1.1498346967157849	1.1228709228644356	-0.026410376572743116	-1.0705810742857071		1.3261309567107946	1.0374264979406236	1.2430110349688654	2.6318338980466147	1.3888228630777493			3.756749486801581	2.580504413513053	1.5363337158000887	4.468199586072613	2.8055008581584002	1.8260748027008264	1.9777236052888478	0.925883825	1.764463823	0.566468299	2.7431976504288222	1.2383974131812707	1.250420002308894	-0.09908693226233099		0.7091511923397957	0.30233092868439926	3.579373108687353	3.4819726315639583	0.3159703454569177	0.6785183790401139		4.888472389401378	2.7059235518890277	4.711740097948675	5.376758611084024	2.5701224514044116	1.3289908554494287	4.049852714344724	0.3044905277734877	-0.835647144215563
6	7	Sandmound_CattailA_D1		1.0	Sandmound	Cattail	SF_Ref	FW	Ref	d1	1.0	s001_Sandmound_CattailA_D1	6	-0.23302051407603375	-0.6680419659616043	1.9477193030437463	0.43311338238369906	-1.9047755188739093				0.795184589682424	1.0982975364946976	2.0354297381845483	1.2100508498751372	1.2242740142942576	0.06258198422816312	-1.0177287669604316	-0.17392519729917355	1.6514718521990424	1.0530784434834197	1.2142348273273114	2.639197743880691	1.42496291655338	3.0207593243997475	-1.825397049498216	3.7181001429692144	2.57063127732224	1.4903205261336454					-0.254840416	2.710899281	0.584762462	2.3107771899741936	-0.14236601484999187	1.209783014848515			1.025170639328482	1.0156740440360554	2.62770373733786	2.7613865115258287	-0.721246399047171	0.24054924828259971		4.67629835898806	2.3834922168326105	4.439121338402977	5.023326221683251	3.4137941423252878	1.2727695865517594	4.147640775551066	0.11909085242172172	-0.6556077263148893
7	8	Sandmound_CattailA_D2		84.0	Sandmound	Cattail	SF_Ref	FW	Ref	d2	84.0	s084_Sandmound_CattailA_D2	7	-0.23302051407603375	-0.6636103511625294	1.9466389679545586	0.43311338238369906	-2.044921976912335				0.7512791039833423	1.0591846176313713	1.7015679850559273	1.3457656931144881	1.31492005599242	0.07554696139253074	-1.080921907623926	-0.6575773191777937	1.5256925245050108	0.9867717342662449	1.3369846934022949	2.8381057277835366	1.501121034381242	2.954567588868698	-2.1832698436828046	3.85824660100764	2.5880278692856824	1.4315590002692258	4.339252634032699	2.5646660642520893	1.8920946026904804	1.9395192526186185	-0.254840416	2.710899281	0.584762462	2.3107771899741936	-0.14236601484999187	1.209783014848515			1.025170639328482	1.0156740440360554	2.62770373733786	2.7613865115258287	-0.721246399047171	0.24054924828259971		4.67629835898806	2.3834922168326105	4.439121338402977	5.023326221683251	3.4137941423252878	1.2727695865517594	4.147640775551066	0.11909085242172172	-0.6556077263148893
8	9	Sandmound_ThreeSqA_D1		5.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	5.0	s005_Sandmound_ThreeSqA_D1	8	-0.17942752311726265	-0.6479145121196691	1.9145166847099782	0.5969824377185244	-1.7567286084485436	-0.14720934564118768	-1.744191783359712	-2.500920391808256	0.8027737252919757	1.1341771075767664	1.8790958795000727	1.205745540942662	1.230704313612569	0.04099769242349056	-1.0177287669604316	-0.2218487496163564	1.867820908045573	1.235528446907549	1.231513810199509	2.6348924349482163	1.4033786247487074	3.2341827686696534	-2.089669657661929	3.733922287878674	2.569174439359503	1.5104479799755806					0.712509492	3.953506323	0.661564933	2.500639835422511	1.0234582376436752	1.0081741840064264	0.006037954997317177	-1.2924298239020637	0.4537768596904421	-0.12378215940835775	2.5052992413949386	2.0940166811204226	-0.619788758288394	0.49968708261840383		4.695207178689865	2.359152211446895	4.40973519541927	5.159648871412108		1.330210784571528	3.910439763813147	0.18227195669418592	-0.39902710431325183
9	9	Sandmound_ThreeSqA_D2	Sandmound_ThreeSqA_D2	88.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	88.0	s088_Sandmound_ThreeSqA_D2	9	-0.17942752311726265	-0.6001417303236684	1.900460620245517	0.5969824377185244	-1.825613419590606	-0.14720934564118768	-1.744191783359712	-2.569805202950318	0.7888751157754168	1.1852587652965851	1.8382192219076259	1.2268575702887234	1.250175948083925	0.006893707947900456	-1.0506099933550872	-0.28399665636520083	1.931915317081246	0.8573324964312685	1.2867298240211604	2.688885690688933	1.4021558666677727	3.330273561630595	-2.2159119734464467	3.8028070990207365	2.5828432366799134	1.5253395353769257	4.4194600727860704	2.7993405494535817	1.8750612633917	1.9867717342662448	0.712509492	3.953506323	0.661564933	2.500639835422511	1.0234582376436752	1.0081741840064264	0.006037954997317177	-1.2924298239020637	0.4537768596904421	-0.12378215940835775	2.5052992413949386	2.0940166811204226	-0.619788758288394	0.49968708261840383		4.695207178689865	2.359152211446895	4.40973519541927	5.159648871412108		1.330210784571528	3.910439763813147	0.18227195669418592	-0.39902710431325183
