Salinity_ppt	CH4g_m2y
0.4	213.3
1.8	97.3
18.1	5.7
18.7	1.2
22.6	0.4
26.3	1.3
5.1	18.2
12.8	22.4
16.6	5.6
0.25	8.2
0.25	5.7
0.25	5.1
0.25	3.5
23.5	1.3
31.6	0.2
33.7	0.2
35.1	0.2
2.5	4.5
2.5	75.4
0.25	96
0.25	1.3
0.25	1.8
25	0.3
33	0.4
6.8	4.7
6.8	3.3
2.1	539.2
5.5	14.1
11.6	30.6
12.9	32
2.3	41.9
4.2	16.3
2.3	38.7
2.3	32.6
